Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo\afflaar01,SG,26,DEN,7,7,229,30,74,.405,4,20,.200,26,54,.481,.432,12,15,.800,5,20,25,19,5,2,9,14,76
2,Blake Ahearn\ahearbl01,PG,27,UTA,3,0,8,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,0,0,2,0,0,0,0,5
3,Cole Aldrich\aldrico01,C,23,OKC,5,0,25,4,9,.444,0,0,,4,9,.444,.444,2,4,.500,5,8,13,0,0,0,0,3,10
4,Lavoy Allen\allenla01,PF,22,PHI,12,1,236,34,61,.557,0,0,,34,61,.557,.557,7,12,.583,21,38,59,3,10,11,5,30,75
5,Ray Allen\allenra02,SG,36,BOS,18,10,616,66,167,.395,28,92,.304,38,75,.507,.479,32,45,.711,8,66,74,18,17,2,17,41,192
6,Tony Allen\allento01,SG,30,MEM,7,7,170,18,45,.400,0,5,.000,18,40,.450,.400,12,17,.706,8,14,22,5,9,7,10,21,48
7,Lou Amundson\amundlo01,PF,29,IND,11,0,94,12,23,.522,0,0,,12,23,.522,.522,3,6,.500,6,17,23,2,2,5,4,16,27
8,James Anderson\anderja01,SG,22,SAS,8,0,31,4,9,.444,2,4,.500,2,5,.400,.556,1,2,.500,0,5,5,3,1,0,0,1,11
9,Ryan Anderson\anderry01,PF,23,ORL,5,5,172,15,44,.341,12,30,.400,3,14,.214,.477,6,7,.857,9,14,23,4,3,2,9,22,48
10,Carmelo Anthony\anthoca01,SF,27,NYK,5,5,204,52,124,.419,4,18,.222,48,106,.453,.435,31,41,.756,13,28,41,11,6,1,14,21,139
11,Joel Anthony\anthojo01,C,29,MIA,17,1,329,17,29,.586,0,0,,17,29,.586,.586,20,25,.800,22,33,55,2,5,16,8,41,54
12,Gilbert Arenas\arenagi01,PG,30,MEM,6,0,23,2,8,.250,0,4,.000,2,4,.500,.250,0,0,,0,1,1,1,0,0,1,6,4
13,Omer Asik\asikom01,C,25,CHI,6,3,128,7,14,.500,0,0,,7,14,.500,.500,6,17,.353,8,20,28,8,1,10,8,14,20
14,Jeff Ayres\pendeje02,C,24,IND,4,0,9,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,0,0,0,0,2,2
15,Kelenna Azubuike\azubuke01,SG,28,DAL,1,0,5,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,0,1,0,1,0,1,0,3
16,Leandro Barbosa\barbole01,SG,29,IND,11,0,223,27,73,.370,3,20,.150,24,53,.453,.390,6,12,.500,5,19,24,14,5,1,13,23,63
17,Matt Barnes\barnema02,SF,31,LAL,11,0,185,16,59,.271,5,31,.161,11,28,.393,.314,2,4,.500,9,27,36,16,10,5,15,29,39
18,Brandon Bass\bassbr01,PF,26,BOS,20,20,608,81,175,.463,0,0,,81,175,.463,.463,59,64,.922,26,79,105,15,14,10,15,50,221
19,Shane Battier\battish01,SF,33,MIA,23,16,768,53,140,.379,42,110,.382,11,30,.367,.529,13,16,.813,15,59,74,27,22,14,16,69,161
20,Rodrigue Beaubois\beaubro01,PG,23,DAL,2,0,12,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,2,0,0,1,1,0
21,Mike Bibby\bibbymi01,PG,33,NYK,5,1,118,9,23,.391,7,17,.412,2,6,.333,.543,2,3,.667,3,18,21,13,1,0,4,7,27
22,DeJuan Blair\blairde01,PF,22,SAS,10,0,76,17,27,.630,0,0,,17,27,.630,.630,3,6,.500,7,16,23,2,3,1,1,10,37
23,Steve Blake\blakest01,PG,31,LAL,12,0,306,26,62,.419,18,43,.419,8,19,.421,.565,5,7,.714,8,26,34,27,8,2,15,21,75
24,Eric Bledsoe\bledser01,PG,22,LAC,11,0,189,37,63,.587,3,7,.429,34,56,.607,.611,10,16,.625,12,14,26,23,13,4,15,23,87
25,Matt Bonner\bonnema01,PF,31,SAS,13,0,165,10,32,.313,8,23,.348,2,9,.222,.438,3,5,.600,2,23,25,9,2,4,3,24,31
26,Carlos Boozer\boozeca01,PF,30,CHI,6,6,200,38,90,.422,0,0,,38,90,.422,.422,5,7,.714,10,49,59,18,5,2,23,20,81
27,Chris Bosh\boshch01,PF,27,MIA,14,10,439,73,148,.493,7,13,.538,66,135,.489,.517,43,52,.827,36,73,109,8,6,14,20,20,196
28,Avery Bradley\bradlav01,PG,21,BOS,10,10,248,25,68,.368,5,22,.227,20,46,.435,.404,12,18,.667,3,17,20,8,8,6,10,20,67
29,Elton Brand\brandel01,C,32,PHI,13,13,356,46,99,.465,0,0,,46,99,.465,.465,20,32,.625,22,41,63,7,11,20,7,36,112
30,Corey Brewer\breweco01,SF,25,DEN,7,0,116,23,54,.426,6,20,.300,17,34,.500,.481,6,8,.750,6,8,14,6,7,2,2,11,58
31,Ronnie Brewer\brewero02,SG,26,CHI,5,0,83,4,16,.250,0,0,,4,16,.250,.250,0,3,.000,4,15,19,9,4,1,6,5,8
32,Kobe Bryant\bryanko01,SG,33,LAL,12,12,476,132,301,.439,17,60,.283,115,241,.477,.467,79,95,.832,16,42,58,52,16,2,34,33,360
33,Alec Burks\burksal01,SG,20,UTA,4,0,63,7,28,.250,0,2,.000,7,26,.269,.250,12,14,.857,5,6,11,3,2,0,3,4,26
