Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Arizin*\arizipa01,SF,23,PHW,3,,120,24,53,.453,,,,24,53,.453,.453,29,33,.879,,,38,8,,,,17,77
2,Leo Barnhorst\barnhle01,SF,27,INO,2,,85,14,34,.412,,,,14,34,.412,.412,3,7,.429,,,9,8,,,,7,31
3,Nelson Bobb\bobbne01,PG,27,PHW,3,,29,1,3,.333,,,,1,3,.333,.333,2,5,.400,,,2,1,,,,4,4
4,Bob Brannum\brannbo01,PF,26,BOS,3,,48,4,12,.333,,,,4,12,.333,.333,1,6,.167,,,10,3,,,,16,9
5,Frankie Brian\brianfr01,SG,28,FTW,2,,81,6,24,.250,,,,6,24,.250,.250,5,6,.833,,,6,9,,,,10,17
6,Walt Budko\budkowa01,PF,26,PHW,3,,58,6,14,.429,,,,6,14,.429,.429,4,7,.571,,,12,5,,,,11,16
7,Gerry Calabrese\calabge01,SG,26,SYR,6,,53,10,24,.417,,,,10,24,.417,.417,4,4,1.000,,,8,4,,,,18,24
8,Al Cervi*\cervial01,PG,34,SYR,7,,88,7,30,.233,,,,7,30,.233,.233,22,23,.957,,,10,15,,,,23,36
9,Nathaniel Clifton*\cliftna01,PF,29,NYK,14,,462,39,133,.293,,,,39,133,.293,.293,54,76,.711,,,133,34,,,,67,132
10,Bill Closs\clossbi01,SF,30,FTW,1,,21,1,6,.167,,,,1,6,.167,.167,3,3,1.000,,,8,4,,,,0,5
11,Jack Coleman\colemja01,PF,27,ROC,6,,247,24,59,.407,,,,24,59,.407,.407,11,18,.611,,,73,35,,,,25,59
12,Chuck Cooper*\coopech01,SF,25,BOS,3,,128,8,25,.320,,,,8,25,.320,.320,17,19,.895,,,16,4,,,,17,33
13,Bob Cousy*\cousybo01,PG,23,BOS,3,,138,26,65,.400,,,,26,65,.400,.400,41,44,.932,,,12,19,,,,13,93
14,Bob Davies*\daviebo01,PG,32,ROC,6,,233,37,92,.402,,,,37,92,.402,.402,45,55,.818,,,13,28,,,,18,119
15,Dick Dickey\dickedi01,PG,25,BOS,3,,31,1,8,.125,,,,1,8,.125,.125,6,7,.857,,,3,5,,,,7,8
16,Bob Donham\donhabo01,SG,25,BOS,3,,112,9,19,.474,,,,9,19,.474,.474,9,18,.500,,,13,17,,,,16,27
17,Dike Eddleman\eddledi01,SF,29,FTW,2,,37,6,16,.375,,,,6,16,.375,.375,4,7,.571,,,7,4,,,,9,16
18,Jake Fendley\fendlja01,SG,22,FTW,1,,4,1,4,.250,,,,1,4,.250,.250,0,0,,,,1,1,,,,2,2
19,Larry Foust\foustla01,C,23,FTW,2,,77,12,23,.522,,,,12,23,.522,.522,6,7,.857,,,30,5,,,,8,30
20,Joe Fulks*\fulksjo01,PF,30,PHW,3,,70,5,33,.152,,,,5,33,.152,.152,7,9,.778,,,12,2,,,,13,17
21,Bill Gabor\gaborbi01,SG,29,SYR,7,,80,11,33,.333,,,,11,33,.333,.333,12,16,.750,,,6,10,,,,16,34
22,Harry Gallatin*\gallaha01,PF,24,NYK,14,,471,50,122,.410,,,,50,122,.410,.410,51,66,.773,,,134,19,,,,45,151
23,Vern Gardner\gardnve01,SG,26,PHW,3,,77,7,19,.368,,,,7,19,.368,.368,10,11,.909,,,14,3,,,,14,24
24,Joe Graboski\grabojo01,C,22,INO,2,,96,19,48,.396,,,,19,48,.396,.396,8,15,.533,,,23,3,,,,7,46
25,Alex Hannum*\hannual01,PF,28,ROC,6,,146,16,42,.381,,,,16,42,.381,.381,8,13,.615,,,26,8,,,,30,40
26,Bob Harris\harribo01,PF,24,BOS,3,,87,9,21,.429,,,,9,21,.429,.429,5,5,1.000,,,25,4,,,,16,23
27,Bob Harrison\harribo02,SG,24,MNL,12,,235,30,68,.441,,,,30,68,.441,.441,14,17,.824,,,20,24,,,,39,74
28,Lew Hitch\hitchle01,PF,22,MNL,13,,152,9,25,.360,,,,9,25,.360,.360,6,21,.286,,,44,9,,,,16,24
29,Joe Holland\hollajo01,SF,26,INO,1,,1,0,0,,,,,0,0,,,0,0,,,,0,0,,,,0,0
30,Red Holzman*\holzmre01,PG,31,ROC,6,,65,3,15,.200,,,,3,15,.200,.200,1,6,.167,,,6,2,,,,3,7
31,Joe Hutton\huttojo01,SG,23,MNL,12,,139,12,29,.414,,,,12,29,.414,.414,9,14,.643,,,13,12,,,,17,33
32,Arnie Johnson\johnsar01,SF,31,ROC,6,,166,8,27,.296,,,,8,27,.296,.296,23,32,.719,,,31,24,,,,27,39
33,Ralph Johnson\johnsra01,PG,30,FTW,2,,70,8,23,.348,,,,8,23,.348,.348,1,1,1.000,,,6,7,,,,11,17
34,Neil Johnston*\johnsne01,C,22,PHW,3,,32,5,10,.500,,,,5,10,.500,.500,6,8,.750,,,10,1,,,,8,16
