Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo\afflaar01,SG,25,DEN,3,3,85,12,34,.353,3,12,.250,9,22,.409,.397,7,8,.875,0,9,9,7,0,0,3,10,34
2,LaMarcus Aldridge\aldrila01,PF,25,POR,6,6,258,53,115,.461,0,0,,53,115,.461,.461,19,24,.792,16,29,45,8,8,10,9,19,125
3,Malik Allen\allenma01,PF,32,ORL,1,0,7,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,0,2,1
4,Ray Allen\allenra02,SG,35,BOS,9,9,361,57,109,.523,32,56,.571,25,53,.472,.670,24,25,.960,5,29,34,22,11,1,10,21,170
5,Tony Allen\allento01,SG,29,MEM,13,13,350,43,101,.426,1,7,.143,42,94,.447,.431,27,41,.659,15,23,38,20,25,5,24,43,114
6,Chris Andersen\anderch01,C,32,DEN,5,0,73,7,11,.636,0,0,,7,11,.636,.636,10,14,.714,5,9,14,3,3,7,3,8,24
7,Ryan Anderson\anderry01,PF,22,ORL,6,0,147,8,30,.267,6,20,.300,2,10,.200,.367,6,6,1.000,10,17,27,3,5,1,1,16,28
8,Carmelo Anthony\anthoca01,SF,26,NYK,4,4,156,33,88,.375,9,26,.346,24,62,.387,.426,29,34,.853,13,28,41,19,5,3,13,16,104
9,Joel Anthony\anthojo01,C,28,MIA,21,13,575,18,49,.367,0,0,,18,49,.367,.367,22,31,.710,35,62,97,10,8,38,13,54,58
10,Gilbert Arenas\arenagi01,PG,29,ORL,5,0,81,18,42,.429,3,12,.250,15,30,.500,.464,4,6,.667,4,10,14,12,1,1,6,14,43
11,Trevor Ariza\arizatr01,SF,25,NOH,6,6,241,35,85,.412,7,21,.333,28,64,.438,.453,16,22,.727,7,32,39,20,8,3,7,16,93
12,Hilton Armstrong\armsthi01,C,26,ATL,8,0,35,1,5,.200,0,0,,1,5,.200,.200,3,6,.500,4,6,10,1,3,0,2,7,5
13,Darrell Arthur\arthuda01,PF,22,MEM,13,0,201,39,85,.459,1,1,1.000,38,84,.452,.465,13,17,.765,14,15,29,7,7,12,12,30,92
14,Omer Asik\asikom01,C,24,CHI,15,0,148,6,13,.462,0,0,,6,13,.462,.462,3,10,.300,10,21,31,1,2,8,7,21,15
15,J.J. Barea\bareajo01,PG,26,DAL,21,3,390,72,172,.419,16,50,.320,56,122,.459,.465,27,34,.794,8,31,39,71,6,0,23,28,187
16,Matt Barnes\barnema02,SF,30,LAL,10,0,131,15,38,.395,2,12,.167,13,26,.500,.421,4,7,.571,11,17,28,5,7,2,6,23,36
17,Earl Barron\barroea01,C,29,POR,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
18,Brandon Bass\bassbr01,PF,25,ORL,6,6,139,16,38,.421,0,0,,16,38,.421,.421,12,13,.923,12,13,25,2,3,5,7,7,44
19,Tony Battie\battito01,C,34,PHI,5,0,38,3,7,.429,0,0,,3,7,.429,.429,1,2,.500,2,8,10,0,0,3,1,5,7
20,Shane Battier\battish01,SF,32,MEM,13,0,339,29,66,.439,8,29,.276,21,37,.568,.500,6,9,.667,17,35,52,15,7,6,6,27,72
21,Nicolas Batum\batumni01,SF,22,POR,6,0,151,19,46,.413,7,26,.269,12,20,.600,.489,3,4,.750,1,9,10,8,5,5,7,14,48
22,Marco Belinelli\belinma01,SG,24,NOH,6,6,173,23,63,.365,8,26,.308,15,37,.405,.429,4,4,1.000,0,5,5,4,5,0,4,12,58
23,Mike Bibby\bibbymi01,PG,32,MIA,20,20,415,27,96,.281,17,66,.258,10,30,.333,.370,2,4,.500,5,31,36,23,11,6,17,30,73
24,Chauncey Billups\billuch01,PG,34,NYK,1,1,35,3,11,.273,2,6,.333,1,5,.200,.364,2,2,1.000,0,2,2,4,0,0,3,2,10
25,DeJuan Blair\blairde01,PF,21,SAS,4,0,50,7,21,.333,0,0,,7,21,.333,.333,3,5,.600,9,4,13,2,0,1,2,6,17
26,Steve Blake\blakest01,PG,30,LAL,9,0,145,7,23,.304,6,18,.333,1,5,.200,.435,0,0,,1,13,14,20,5,0,5,8,20
27,Keith Bogans\boganke01,SG,30,CHI,16,16,307,28,69,.406,25,59,.424,3,10,.300,.587,1,4,.250,4,16,20,12,10,3,7,26,82
28,Matt Bonner\bonnema01,PF,30,SAS,6,0,123,12,25,.480,6,18,.333,6,7,.857,.600,8,10,.800,7,12,19,2,1,1,1,18,38
29,Carlos Boozer\boozeca01,C,29,CHI,16,16,507,77,178,.433,0,1,.000,77,177,.435,.433,48,60,.800,40,115,155,28,9,7,28,49,202
30,Chris Bosh\boshch01,PF,26,MIA,21,21,834,138,291,.474,0,4,.000,138,287,.481,.474,114,140,.814,47,131,178,23,14,19,40,48,390
31,Elton Brand\brandel01,PF,31,PHI,5,5,185,34,62,.548,0,0,,34,62,.548,.548,10,13,.769,12,30,42,3,2,6,4,21,78
32,Corey Brewer\breweco01,SG,24,DAL,6,0,23,4,9,.444,1,3,.333,3,6,.500,.500,0,0,,0,2,2,1,4,0,2,5,9
33,Ronnie Brewer\brewero02,SG,25,CHI,16,0,260,24,50,.480,3,7,.429,21,43,.488,.510,13,17,.765,7,27,34,15,12,6,4,14,64
34,Shannon Brown\brownsh01,SG,25,LAL,10,0,166,28,61,.459,7,25,.280,21,36,.583,.516,9,14,.643,5,14,19,7,6,2,9,10,72
35,Kobe Bryant\bryanko01,SG,32,LAL,10,10,354,83,186,.446,12,41,.293,71,145,.490,.478,50,61,.820,8,26,34,33,16,3,31,23,228
36,Rasual Butler\butlera01,SG,31,CHI,3,0,7,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3
37,Andrew Bynum\bynuman01,C,23,LAL,10,10,320,57,105,.543,0,0,,57,105,.543,.543,30,36,.833,36,60,96,8,5,14,20,33,144
38,Marcus Camby\cambyma01,C,36,POR,6,6,167,10,22,.455,1,1,1.000,9,21,.429,.477,0,2,.000,18,40,58,8,4,9,5,18,21
39,Brian Cardinal\cardibr01,SF,33,DAL,9,0,37,3,4,.750,3,4,.750,0,0,,1.125,1,2,.500,0,3,3,2,1,0,3,8,10
40,Anthony Carter\cartean01,PG,35,NYK,4,0,49,8,15,.533,1,3,.333,7,12,.583,.567,2,2,1.000,2,6,8,6,2,1,4,1,19
41,Mario Chalmers\chalmma01,PG,24,MIA,21,1,511,54,124,.435,32,84,.381,22,40,.550,.565,23,32,.719,4,36,40,44,27,1,28,48,163
42,Tyson Chandler\chandty01,C,28,DAL,21,21,680,57,98,.582,0,0,,57,98,.582,.582,53,78,.679,79,114,193,8,13,19,14,77,167
43,Wilson Chandler\chandwi01,SF,23,DEN,5,2,115,8,29,.276,1,7,.143,7,22,.318,.293,7,9,.778,2,20,22,2,3,4,4,15,24
44,Earl Clark\clarkea01,SF,23,ORL,1,0,6,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,2,4,1,1,1,0,0,2
45,Jason Collins\collija04,C,32,ATL,12,9,158,9,14,.643,0,0,,9,14,.643,.643,3,8,.375,6,11,17,1,5,3,5,31,21
46,Darren Collison\collida01,PG,23,IND,5,5,146,18,46,.391,4,6,.667,14,40,.350,.435,7,11,.636,4,9,13,20,5,2,9,7,47
47,Nick Collison\collini01,C,30,OKC,17,0,413,48,76,.632,0,0,,48,76,.632,.632,18,23,.783,47,51,98,15,15,15,13,63,114
48,Mike Conley\conlemi01,PG,23,MEM,13,13,507,71,183,.388,11,37,.297,60,146,.411,.418,44,53,.830,7,43,50,83,14,3,30,39,197
49,Daequan Cook\cookda02,SG,23,OKC,17,0,195,22,56,.393,16,46,.348,6,10,.600,.536,4,4,1.000,1,26,27,1,3,0,7,17,64
50,Jamal Crawford\crawfja01,SG,30,ATL,12,0,358,61,155,.394,21,60,.350,40,95,.421,.461,42,51,.824,1,15,16,30,9,4,16,17,185
51,Glen Davis\davisgl01,C,25,BOS,9,0,191,18,46,.391,0,1,.000,18,45,.400,.391,8,11,.727,7,25,32,8,3,0,9,21,44
52,Luol Deng\denglu01,SF,25,CHI,16,16,687,98,230,.426,22,68,.324,76,162,.469,.474,52,62,.839,27,79,106,43,24,10,26,40,270
53,Toney Douglas\douglto01,SG,24,NYK,4,3,112,15,41,.366,7,18,.389,8,23,.348,.451,6,6,1.000,2,11,13,9,2,0,4,12,43
54,Chris Duhon\duhonch01,PG,28,ORL,1,0,4,1,2,.500,1,2,.500,0,0,,.750,2,2,1.000,0,0,0,0,0,0,0,0,5
55,Tim Duncan\duncati01,C,34,SAS,6,6,212,33,69,.478,0,0,,33,69,.478,.478,10,16,.625,16,47,63,16,3,15,18,17,76
56,Mike Dunleavy\dunlemi02,SG,30,IND,5,0,72,7,20,.350,3,10,.300,4,10,.400,.425,8,12,.667,0,6,6,8,4,0,1,3,25
57,Kevin Durant\duranke01,SF,22,OKC,17,17,722,155,345,.449,37,109,.339,118,236,.500,.503,140,167,.838,18,121,139,48,16,19,42,52,487
58,Patrick Ewing\ewingpa02,SF,26,NOH,2,0,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3
59,Raymond Felton\feltora01,SG,26,DEN,5,0,152,18,50,.360,4,16,.250,14,34,.412,.400,18,24,.750,0,9,9,21,6,0,10,10,58
60,Rudy Fernandez\fernaru01,SG,25,POR,6,0,81,4,18,.222,3,10,.300,1,8,.125,.306,6,9,.667,2,10,12,5,2,1,2,7,17
61,Landry Fields\fieldla01,SG,22,NYK,4,4,71,3,15,.200,0,4,.000,3,11,.273,.200,1,6,.167,1,4,5,5,2,3,4,0,7
62,Derek Fisher\fishede01,PG,36,LAL,10,10,325,29,67,.433,7,17,.412,22,50,.440,.485,17,21,.810,1,26,27,36,14,2,8,25,82
63,Gary Forbes\forbega01,SF,25,DEN,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
64,T.J. Ford\fordtj01,PG,27,IND,2,0,14,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,0,1,1,2,0,0,2,0,7
65,Jeff Foster\fosteje01,C,34,IND,5,0,93,7,12,.583,0,0,,7,12,.583,.583,3,8,.375,10,14,24,4,2,4,5,14,17
66,Danilo Gallinari\gallida01,SF,22,DEN,5,5,148,19,44,.432,7,15,.467,12,29,.414,.511,15,21,.714,1,16,17,10,4,0,7,17,60
67,Kevin Garnett\garneke01,PF,34,BOS,9,9,328,56,127,.441,0,1,.000,56,126,.444,.441,22,29,.759,21,77,98,23,17,9,19,27,134
68,Marc Gasol\gasolma01,C,26,MEM,13,13,519,72,141,.511,0,2,.000,72,139,.518,.511,51,73,.699,41,105,146,29,14,28,26,44,195
69,Pau Gasol\gasolpa01,C,30,LAL,10,10,358,47,112,.420,1,2,.500,46,110,.418,.424,36,45,.800,32,46,78,38,4,17,17,33,131
70,Paul George\georgpa01,SG,20,IND,5,5,133,10,33,.303,3,13,.231,7,20,.350,.348,7,8,.875,5,20,25,5,7,10,7,11,30
71,Taj Gibson\gibsota01,PF,25,CHI,16,0,284,43,76,.566,0,1,.000,43,75,.573,.566,9,15,.600,26,40,66,9,5,22,14,32,95
72,Manu Ginobili\ginobma01,SG,33,SAS,5,5,174,31,70,.443,9,28,.321,22,42,.524,.507,32,41,.780,2,18,20,21,13,3,17,13,103
73,Danny Granger\grangda01,SF,27,IND,5,5,183,43,90,.478,8,23,.348,35,67,.522,.522,14,16,.875,6,22,28,16,6,1,7,12,108
74,Aaron Gray\grayaa01,C,26,NOH,6,0,87,9,13,.692,0,0,,9,13,.692,.692,3,8,.375,3,18,21,2,2,2,5,13,21
