Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Curly Armstrong\armstcu01,G-F,31,FTW,3,,,4,22,.182,,,,4,22,.182,.182,1,4,.250,,,,6,,,,6,9
2,Cliff Barker\barkecl01,SG,29,INO,6,,,12,31,.387,,,,12,31,.387,.387,10,15,.667,,,,13,,,,10,34
3,Leo Barnhorst\barnhle01,SF,25,CHS,2,,,8,25,.320,,,,8,25,.320,.320,6,6,1.000,,,,4,,,,10,22
4,Ralph Beard\beardra01,G,22,INO,5,,,22,70,.314,,,,22,70,.314,.314,22,28,.786,,,,22,,,,11,66
5,Charlie Black\blackch01,F-C,28,AND,8,,,18,61,.295,,,,18,61,.295,.295,21,29,.724,,,,17,,,,38,57
6,Nelson Bobb\bobbne01,PG,25,PHW,2,,,1,3,.333,,,,1,3,.333,.333,0,0,,,,,1,,,,3,2
7,Jake Bornheimer\bornhja01,F-C,22,PHW,2,,,1,3,.333,,,,1,3,.333,.333,0,0,,,,,0,,,,2,2
8,Vince Boryla\borylvi01,SF,22,NYK,5,,,23,52,.442,,,,23,52,.442,.442,29,32,.906,,,,7,,,,25,75
9,Bob Brannum\brannbo01,PF,24,SHE,3,,,15,43,.349,,,,15,43,.349,.349,13,20,.650,,,,11,,,,16,43
10,Carl Braun\braunca01,G-F,22,NYK,5,,,28,68,.412,,,,28,68,.412,.412,29,38,.763,,,,19,,,,21,85
11,Frankie Brian\brianfr01,G,26,AND,8,,,26,96,.271,,,,26,96,.271,.271,43,48,.896,,,,19,,,,24,95
12,Jack Burmaster\burmaja01,G,23,SHE,3,,,16,31,.516,,,,16,31,.516,.516,4,4,1.000,,,,8,,,,7,36
13,Don Carlson\carlsdo01,G-F,30,MNL,10,,,21,37,.568,,,,21,37,.568,.568,12,15,.800,,,,11,,,,19,54
14,Bob Carpenter\carpebo01,F-C,32,FTW,4,,,11,30,.367,,,,11,30,.367,.367,10,14,.714,,,,2,,,,6,32
15,Jake Carter\carteja01,F-C,25,AND,8,,,3,21,.143,,,,3,21,.143,.143,4,6,.667,,,,3,,,,12,10
16,Al Cervi*\cervial01,PG,32,SYR,11,,,23,68,.338,,,,23,68,.338,.338,38,46,.826,,,,52,,,,36,84
17,Leroy Chollet\chollle01,F,24,SYR,8,,,7,26,.269,,,,7,26,.269,.269,5,13,.385,,,,4,,,,11,19
18,Bill Closs\clossbi01,SF,28,AND,8,,,33,109,.303,,,,33,109,.303,.303,25,30,.833,,,,14,,,,27,91
19,Jack Coleman\colemja01,PF,25,ROC,2,,,7,20,.350,,,,7,20,.350,.350,1,1,1.000,,,,4,,,,8,15
20,Bobby Cook\cookbo01,G-F,26,SHE,3,,,3,10,.300,,,,3,10,.300,.300,3,6,.500,,,,6,,,,3,9
21,Ray Corley\corlera01,G,22,SYR,6,,,6,36,.167,,,,6,36,.167,.167,5,11,.455,,,,10,,,,5,17
22,Chink Crossin\crossch01,G,25,PHW,2,,,9,27,.333,,,,9,27,.333,.333,8,9,.889,,,,4,,,,3,26
23,Fran Curran\currafr01,G,24,ROC,2,,,2,7,.286,,,,2,7,.286,.286,1,1,1.000,,,,0,,,,0,5
24,Bob Davies*\daviebo01,PG,30,ROC,2,,,4,17,.235,,,,4,17,.235,.235,7,8,.875,,,,9,,,,11,15
25,Hook Dillon\dilloho01,F,26,WSC,1,,,1,1,1.000,,,,1,1,1.000,1.000,2,2,1.000,,,,0,,,,2,4
26,Harry Donovan\donovha01,G,23,NYK,3,,,0,4,.000,,,,0,4,.000,.000,2,2,1.000,,,,0,,,,4,2
27,Andy Duncan\duncaan01,F-C,27,ROC,2,,,2,3,.667,,,,2,3,.667,.667,2,2,1.000,,,,1,,,,5,6
28,Dike Eddleman\eddledi01,SF,27,TRI,3,,,17,45,.378,,,,17,45,.378,.378,15,25,.600,,,,7,,,,17,49
29,Gene Englund\engluge01,F-C,32,TRI,2,,,1,5,.200,,,,1,5,.200,.200,9,11,.818,,,,1,,,,6,11
30,Bob Evans\evansbo01,G,24,INO,2,,,1,4,.250,,,,1,4,.250,.250,0,0,,,,,0,,,,3,2
31,Bob Feerick\feeribo01,F-G,30,WSC,2,,,3,12,.250,,,,3,12,.250,.250,3,4,.750,,,,6,,,,10,9
32,Arnie Ferrin\ferriar01,F-G,24,MNL,12,,,33,97,.340,,,,33,97,.340,.340,16,29,.552,,,,30,,,,51,82
33,Jerry Fleishman\fleisje01,SG,27,PHW,2,,,1,3,.333,,,,1,3,.333,.333,0,1,.000,,,,3,,,,6,2
34,Joe Fulks*\fulksjo01,PF,28,PHW,2,,,5,26,.192,,,,5,26,.192,.192,5,10,.500,,,,2,,,,10,15
35,Bill Gabor\gaborbi01,SG,27,SYR,10,,,25,97,.258,,,,25,97,.258,.258,26,31,.839,,,,25,,,,27,76
36,Harry Gallatin*\gallaha01,F-C,22,NYK,5,,,20,52,.385,,,,20,52,.385,.385,25,32,.781,,,,6,,,,23,65
37,Vern Gardner\gardnve01,SG,24,PHW,2,,,15,44,.341,,,,15,44,.341,.341,6,9,.667,,,,2,,,,11,36
38,Frank Gates\gatesfr01,G,29,AND,7,,,9,37,.243,,,,9,37,.243,.243,7,10,.700,,,,9,,,,15,25
39,Dee Gibson\gibsode01,F-G,26,TRI,3,,,4,11,.364,,,,4,11,.364,.364,3,5,.600,,,,2,,,,11,11
40,Joe Graboski\grabojo01,F-C,20,CHS,1,,,0,0,,,,,0,0,,,0,0,,,,,0,,,,0,0
41,Bud Grant\grantbu01,F,22,MNL,11,,,18,45,.400,,,,18,45,.400,.400,7,14,.500,,,,7,,,,25,43
42,Alex Groza\grozaal01,C,23,INO,6,,,44,74,.595,,,,44,74,.595,.595,49,59,.831,,,,12,,,,21,137
43,Al Guokas\guokaal01,F-G,24,PHW,2,,,2,4,.500,,,,2,4,.500,.500,2,6,.333,,,,5,,,,3,6
44,Chick Halbert\halbech01,C,30,WSC,2,,,7,16,.438,,,,7,16,.438,.438,5,9,.556,,,,3,,,,7,19
45,Bruce Hale\halebr01,G-F,31,INO,6,,,14,40,.350,,,,14,40,.350,.350,15,17,.882,,,,17,,,,11,43
46,Alex Hannum*\hannual01,PF,26,SYR,11,,,38,86,.442,,,,38,86,.442,.442,17,34,.500,,,,10,,,,50,93
47,John Hargis\hargijo01,G-F,29,AND,8,,,32,89,.360,,,,32,89,.360,.360,35,47,.745,,,,13,,,,26,99
48,Bob Harris\harribo01,F-C,22,FTW,4,,,9,32,.281,,,,9,32,.281,.281,12,20,.600,,,,11,,,,15,30
49,Bob Harrison\harribo02,G,22,MNL,12,,,16,37,.432,,,,16,37,.432,.432,10,14,.714,,,,12,,,,34,42
50,Billy Hassett\hassebi01,G,28,MNL,7,,,3,12,.250,,,,3,12,.250,.250,3,10,.300,,,,4,,,,8,9
51,Marshall Hawkins\hawkima01,F,25,INO,2,,,0,1,.000,,,,0,1,.000,.000,0,0,,,,,0,,,,1,0
52,Bill Henry\henrybi01,C,25,TRI,3,,,2,17,.118,,,,2,17,.118,.118,5,9,.556,,,,5,,,,14,9
53,Kleggie Hermsen\hermskl01,C-F,26,CHS,2,,,7,24,.292,,,,7,24,.292,.292,4,5,.800,,,,5,,,,12,18
54,Joe Holland\hollajo01,SF,24,INO,6,,,21,61,.344,,,,21,61,.344,.344,6,15,.400,,,,15,,,,29,48
55,Red Holzman*\holzmre01,PG,29,ROC,2,,,3,9,.333,,,,3,9,.333,.333,1,2,.500,,,,0,,,,3,7
56,Gene James\jamesge01,F,24,NYK,1,,,1,3,.333,,,,1,3,.333,.333,0,0,,,,,0,,,,0,2
57,Tony Jaros\jarosto01,F-G,29,MNL,2,,,0,3,.000,,,,0,3,.000,.000,1,2,.500,,,,0,,,,2,1
58,Arnie Johnson\johnsar01,SF,29,ROC,2,,,6,12,.500,,,,6,12,.500,.500,8,12,.667,,,,5,,,,11,20
59,Ralph Johnson\johnsra01,PG,28,FTW,4,,,8,32,.250,,,,8,32,.250,.250,12,16,.750,,,,8,,,,13,28
60,Wah Wah Jones\joneswa01,PF,23,INO,5,,,22,73,.301,,,,22,73,.301,.301,29,34,.853,,,,22,,,,26,73
61,Noble Jorgensen\jorgeno01,C,24,SHE,3,,,17,44,.386,,,,17,44,.386,.386,18,30,.600,,,,8,,,,15,52
62,Leo Katkaveck\katkale01,G,26,WSC,2,,,2,13,.154,,,,2,13,.154,.154,2,3,.667,,,,3,,,,7,6
63,Jack Kerris\kerrija01,PF,25,FTW,4,,,12,30,.400,,,,12,30,.400,.400,13,22,.591,,,,5,,,,17,37
64,Walt Kirk\kirkwa01,PG,25,TRI,3,,,2,7,.286,,,,2,7,.286,.286,1,6,.167,,,,1,,,,8,5
65,Leo Klier\klierle01,F-G,26,FTW,2,,,0,3,.000,,,,0,3,.000,.000,1,1,1.000,,,,3,,,,1,1
66,Duane Klueh\kluehdu01,G,24,FTW,2,,,2,10,.200,,,,2,10,.200,.200,5,5,1.000,,,,3,,,,8,9
67,Milo Komenich\komenmi01,F-C,29,AND,8,,,26,107,.243,,,,26,107,.243,.243,16,28,.571,,,,14,,,,36,68
68,Frank Kudelka\kudelfr01,G-F,24,CHS,2,,,2,10,.200,,,,2,10,.200,.200,1,2,.500,,,,4,,,,4,5
69,Andrew Levane\levanan01,F-G,29,SYR,9,,,13,37,.351,,,,13,37,.351,.351,5,5,1.000,,,,13,,,,11,31
70,Ron Livingstone\livinro01,C,24,PHW,2,,,6,16,.375,,,,6,16,.375,.375,4,7,.571,,,,5,,,,12,16
71,Ray Lumpp\lumppra01,G,26,NYK,5,,,10,18,.556,,,,10,18,.556,.556,2,3,.667,,,,3,,,,10,22
72,Johnny Macknowski\macknjo01,G-F,27,SYR,11,,,39,100,.390,,,,39,100,.390,.390,39,51,.765,,,,21,,,,18,117
73,Slater Martin*\martisl01,PG,24,MNL,12,,,21,50,.420,,,,21,50,.420,.420,14,24,.583,,,,25,,,,35,56
74,Dick McGuire*\mcguidi01,PG,24,NYK,5,,,22,52,.423,,,,22,52,.423,.423,19,26,.731,,,,27,,,,21,63
75,Bones McKinney\mckinbo01,SF,31,WSC,2,,,6,22,.273,,,,6,22,.273,.273,4,5,.800,,,,3,,,,11,16
76,Mal McMullen\mcmulma01,F-C,22,INO,6,,,4,21,.190,,,,4,21,.190,.190,6,9,.667,,,,9,,,,19,14
77,Stan Miasek\miasest01,C-F,25,CHS,1,,,2,4,.500,,,,2,4,.500,.500,1,1,1.000,,,,0,,,,2,5
78,Ed Mikan\mikaned01,C,24,ROC,2,,,8,24,.333,,,,8,24,.333,.333,10,11,.909,,,,2,,,,8,26
79,George Mikan*\mikange01,C,25,MNL,12,,,121,316,.383,,,,121,316,.383,.383,134,170,.788,,,,36,,,,47,376
80,Vern Mikkelsen*\mikkeve01,PF,21,MNL,12,,,55,149,.369,,,,55,149,.369,.369,46,60,.767,,,,18,,,,52,156
81,Leo Mogus\mogusle01,F-C,28,PHW,2,,,3,18,.167,,,,3,18,.167,.167,4,7,.571,,,,7,,,,10,10
