Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
78,A.C. Green\greenac01,PF,29,LAL,5,5,220,18,42,.429,0,5,.000,18,37,.486,.429,13,21,.619,26,47,73,13,7,3,9,14,49
79,Sidney Green\greensi02,PF,32,CHH,9,0,78,7,18,.389,0,0,,7,18,.389,.389,1,3,.333,8,21,29,1,1,1,2,15,15
80,Jay Guidinger\guidija01,C,23,CLE,4,0,15,1,3,.333,0,0,,1,3,.333,.333,0,2,.000,1,0,1,0,0,1,2,1,2
81,Ron Harper\harpero01,SG,29,LAC,5,5,174,37,78,.474,5,10,.500,32,68,.471,.506,11,17,.647,4,16,20,16,15,10,11,7,90
82,Steve Henson\hensost01,PG,24,ATL,3,0,47,3,9,.333,2,5,.400,1,4,.250,.444,0,0,,1,3,4,5,4,0,2,4,8
83,Carl Herrera\herreca01,PF,26,HOU,12,0,195,22,57,.386,0,2,.000,22,55,.400,.386,12,20,.600,16,29,45,7,3,2,11,36,56
84,Robert Horry\horryro01,SF,22,HOU,12,12,374,47,101,.465,9,30,.300,38,71,.535,.510,20,27,.741,14,48,62,38,18,16,28,30,123
85,Jay Humphries\humphja01,SG,30,UTA,5,0,115,11,33,.333,2,8,.250,9,25,.360,.364,2,4,.500,5,5,10,17,3,3,6,8,26
86,Jaren Jackson\jacksja01,SG,25,LAC,4,0,28,5,13,.385,0,1,.000,5,12,.417,.385,0,0,,4,1,5,2,2,0,3,6,10
87,Mark Jackson\jacksma01,PG,27,LAC,5,5,188,28,64,.438,1,2,.500,27,62,.435,.445,19,22,.864,8,21,29,38,8,1,13,8,76
88,Avery Johnson\johnsav01,PG,27,SAS,10,10,314,36,70,.514,0,1,.000,36,69,.522,.514,10,14,.714,8,23,31,81,10,1,23,27,82
89,Eddie Johnson\johnsed03,SF,33,SEA,19,0,382,82,210,.390,12,36,.333,70,174,.402,.419,29,31,.935,17,28,45,17,3,1,19,44,205
90,Frank Johnson\johnsfr01,PG,34,PHO,22,0,172,22,50,.440,1,3,.333,21,47,.447,.450,25,29,.862,3,8,11,17,6,0,7,26,70
91,Kevin Johnson\johnske02,PG,26,PHO,23,23,914,143,298,.480,0,3,.000,143,295,.485,.480,124,156,.795,10,52,62,182,35,13,84,57,410
92,Larry Johnson\johnsla02,PF,23,CHH,9,9,348,68,122,.557,1,4,.250,67,118,.568,.561,41,52,.788,19,43,62,30,5,2,19,27,178
93,Michael Jordan*\jordami01,SG,29,CHI,19,19,783,251,528,.475,28,72,.389,223,456,.489,.502,136,169,.805,32,96,128,114,39,17,45,58,666
94,Adam Keefe\keefead01,PF,22,ATL,3,0,53,7,13,.538,0,0,,7,13,.538,.538,4,6,.667,4,9,13,6,1,0,3,7,18
