Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,23,MIL,14,,577,152,295,.515,,,,152,295,.515,.515,68,101,.673,,,238,35,,,,45,372
2,Lucius Allen\allenlu01,PG,23,MIL,14,,312,41,81,.506,,,,41,81,.506,.506,20,28,.714,,,40,52,,,,30,102
3,Al Attles\attleal01,PG,34,SFW,4,,47,4,7,.571,,,,4,7,.571,.571,4,7,.571,,,8,11,,,,13,12
4,Dennis Awtrey\awtrede01,C,22,PHI,7,,144,21,36,.583,,,,21,36,.583,.583,11,15,.733,,,27,5,,,,25,53
5,Dick Barnett\barnedi01,SG,34,NYK,12,,455,95,199,.477,,,,95,199,.477,.477,44,63,.698,,,38,36,,,,33,234
6,Johnny Baum\baumjo01,SF,24,CHI,2,,5,0,0,,,,,0,0,,,0,0,,,,1,0,,,,2,0
7,Walt Bellamy*\bellawa01,C,31,ATL,5,,216,41,69,.594,,,,41,69,.594,.594,22,29,.759,,,72,10,,,,16,104
8,Tom Boerwinkle\boerwto01,C,25,CHI,7,,169,19,41,.463,,,,19,41,.463,.463,5,7,.714,,,67,31,,,,17,43
9,Bob Boozer\boozebo01,PF,33,MIL,14,,283,41,85,.482,,,,41,85,.482,.482,22,29,.759,,,74,17,,,,35,104
10,Bill Bradley*\bradlbi01,SF,27,NYK,12,,368,56,132,.424,,,,56,132,.424,.424,14,19,.737,,,41,43,,,,40,126
11,Bill Bridges\bridgbi01,PF,31,ATL,5,,229,23,58,.397,,,,23,58,.397,.397,3,9,.333,,,104,5,,,,17,49
12,Fred Carter\cartefr01,SG,25,BAL,18,,597,108,260,.415,,,,108,260,.415,.415,47,73,.644,,,82,36,,,,63,263
13,Wilt Chamberlain*\chambwi01,C,34,LAL,12,,554,85,187,.455,,,,85,187,.455,.455,50,97,.515,,,242,53,,,,33,220
14,Jerry Chambers\chambje01,SF,27,ATL,4,,22,3,9,.333,,,,3,9,.333,.333,1,2,.500,,,5,0,,,,4,7
