Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Arizin*\arizipa01,SF,31,PHW,9,,371,84,195,.431,,,,84,195,.431,.431,69,79,.873,,,86,33,,,,29,237
2,Dick Barnett\barnedi01,SG,23,SYR,3,,64,12,38,.316,,,,12,38,.316,.316,6,7,.857,,,14,4,,,,4,30
3,Elgin Baylor*\bayloel01,SF,25,MNL,9,,408,111,234,.474,,,,111,234,.474,.474,79,94,.840,,,127,31,,,,38,301
4,Ernie Beck\becker01,SG,28,PHW,4,,22,4,9,.444,,,,4,9,.444,.444,0,1,.000,,,6,3,,,,1,8
5,Al Bianchi\biancal01,PG,27,SYR,2,,18,0,8,.000,,,,0,8,.000,.000,0,0,,,,3,3,,,,2,0
6,Barney Cable\cableba01,SF,24,SYR,3,,63,5,14,.357,,,,5,14,.357,.357,4,8,.500,,,28,1,,,,12,14
7,Wilt Chamberlain*\chambwi01,C,23,PHW,9,,415,125,252,.496,,,,125,252,.496,.496,49,110,.445,,,232,19,,,,17,299
8,Gene Conley\conlege01,PF,29,BOS,13,,269,34,88,.386,,,,34,88,.386,.386,16,22,.727,,,116,3,,,,59,84
9,Ed Conlin\conlied01,SG,26,DET,2,,20,3,10,.300,,,,3,10,.300,.300,2,2,1.000,,,4,0,,,,2,8
10,Larry Costello\costela01,PG,28,SYR,3,,122,20,47,.426,,,,20,47,.426,.426,10,12,.833,,,14,20,,,,15,50
11,Bob Cousy*\cousybo01,PG,31,BOS,13,,468,80,262,.305,,,,80,262,.305,.305,39,51,.765,,,48,116,,,,27,199
12,Archie Dees\deesar01,PF,23,DET,2,,18,4,12,.333,,,,4,12,.333,.333,3,3,1.000,,,4,2,,,,2,11
13,Connie Dierking\dierkco01,C,23,SYR,3,,32,6,20,.300,,,,6,20,.300,.300,0,1,.000,,,15,1,,,,6,12
14,Walter Dukes\dukeswa01,C,29,DET,2,,78,16,31,.516,,,,16,31,.516,.516,16,22,.727,,,33,2,,,,9,48
15,Boo Ellis\ellisbo01,PF,23,MNL,3,,36,2,10,.200,,,,2,10,.200,.200,4,8,.500,,,12,2,,,,3,8
16,Ray Felix\felixra01,C,29,MNL,8,,147,17,41,.415,,,,17,41,.415,.415,18,25,.720,,,53,9,,,,34,52
17,Al Ferrari\ferraal01,SG,26,STL,9,,142,15,38,.395,,,,15,38,.395,.395,10,18,.556,,,9,15,,,,13,40
18,Bob Ferry\ferrybo01,C,22,STL,11,,56,10,19,.526,,,,10,19,.526,.526,4,7,.571,,,15,0,,,,10,24
19,Larry Foust\foustla01,C,31,STL,12,,205,29,74,.392,,,,29,74,.392,.392,20,25,.800,,,68,11,,,,36,78
20,Tom Gola*\golato01,SG,27,PHW,9,,340,42,102,.412,,,,42,102,.412,.412,29,36,.806,,,95,50,,,,41,113
21,Joe Graboski\grabojo01,PF,30,PHW,9,,129,17,58,.293,,,,17,58,.293,.293,7,9,.778,,,30,9,,,,23,41
22,Si Green\greensi01,PG,26,STL,14,,565,81,171,.474,,,,81,171,.474,.474,35,58,.603,,,121,88,,,,50,197
23,Hal Greer*\greerha01,SG,23,SYR,3,,84,22,43,.512,,,,22,43,.512,.512,3,4,.750,,,14,10,,,,5,47
24,Gene Guarilia\guarige01,SF,22,BOS,7,,41,4,18,.222,,,,4,18,.222,.222,6,6,1.000,,,19,3,,,,4,14
25,Cliff Hagan*\hagancl01,SF,28,STL,14,,544,125,296,.422,,,,125,296,.422,.422,89,109,.817,,,138,54,,,,54,339
26,Vern Hatton\hattove01,SG,24,PHW,6,,17,4,13,.308,,,,4,13,.308,.308,1,3,.333,,,3,1,,,,3,9
27,Tom Hawkins\hawkito01,SF,23,MNL,8,,119,22,45,.489,,,,22,45,.489,.489,15,18,.833,,,21,3,,,,24,59
28,Tom Heinsohn*\heinsto01,PF,25,BOS,13,,423,112,267,.419,,,,112,267,.419,.419,60,80,.750,,,126,27,,,,53,284
29,Bob Hopkins\hopkibo01,PF,25,SYR,1,,19,2,8,.250,,,,2,8,.250,.250,3,3,1.000,,,6,0,,,,3,7
30,Bailey Howell*\howelba01,PF,23,DET,2,,72,14,41,.341,,,,14,41,.341,.341,6,8,.750,,,17,3,,,,8,34
31,Hot Rod Hundley\hundlho01,SG,25,MNL,9,,337,41,122,.336,,,,41,122,.336,.336,24,37,.649,,,61,55,,,,18,106
32,Andy Johnson\johnsan01,SF,27,PHW,9,,183,28,67,.418,,,,28,67,.418,.418,24,47,.511,,,45,21,,,,26,80
33,K.C. Jones*\joneskc01,PG,27,BOS,13,,232,27,80,.338,,,,27,80,.338,.338,17,22,.773,,,45,14,,,,28,71
34,Sam Jones*\jonessa01,SF,26,BOS,13,,197,45,117,.385,,,,45,117,.385,.385,17,21,.810,,,41,18,,,,15,107
35,Red Kerr\kerrre01,C,27,SYR,3,,104,15,51,.294,,,,15,51,.294,.294,11,12,.917,,,25,9,,,,9,41
36,Jim Krebs\krebsji01,C,24,MNL,9,,157,23,55,.418,,,,23,55,.418,.418,5,10,.500,,,47,8,,,,31,51
37,Rudy LaRusso\larusru01,PF,22,MNL,9,,321,56,132,.424,,,,56,132,.424,.424,27,35,.771,,,70,22,,,,34,139
38,Slick Leonard*\leonasl01,PG,27,MNL,9,,207,20,67,.299,,,,20,67,.299,.299,18,28,.643,,,10,45,,,,17,58
39,Earl Lloyd*\lloydea01,SF,31,DET,2,,53,6,24,.250,,,,6,24,.250,.250,5,8,.625,,,9,3,,,,11,17
40,Clyde Lovellette*\lovelcl01,C,30,STL,14,,426,95,242,.393,,,,95,242,.393,.393,56,68,.824,,,151,39,,,,53,246
41,Slater Martin*\martisl01,PG,34,STL,3,,58,1,13,.077,,,,1,13,.077,.077,1,4,.250,,,3,8,,,,9,3
42,Johnny McCarthy\mccarjo01,SG,25,STL,14,,566,43,106,.406,,,,43,106,.406,.406,27,36,.750,,,64,98,,,,49,113
43,Dick McGuire*\mcguidi01,PG,34,DET,2,,42,5,12,.417,,,,5,12,.417,.417,1,3,.333,,,4,9,,,,3,11
44,Jack McMahon\mcmahja01,PG,31,STL,2,,27,2,4,.500,,,,2,4,.500,.500,0,4,.000,,,1,3,,,,5,4
45,Shellie McMillon\mcmilsh01,SF,23,DET,2,,47,8,21,.381,,,,8,21,.381,.381,4,5,.800,,,16,2,,,,5,20
46,Chuck Noble\noblech01,SG,28,DET,2,,61,7,26,.269,,,,7,26,.269,.269,0,0,,,,9,13,,,,6,14
47,Bob Pettit*\pettibo01,PF,27,STL,14,,576,129,292,.442,,,,129,292,.442,.442,107,142,.754,,,221,52,,,,43,365
48,Dave Piontek\piontda01,SF,25,STL,14,,220,27,79,.342,,,,27,79,.342,.342,18,25,.720,,,41,18,,,,28,72
49,Frank Ramsey*\ramsefr01,SG,28,BOS,13,,459,81,196,.413,,,,81,196,.413,.413,55,63,.873,,,100,27,,,,51,217
50,John Richter\richtjo01,C,22,BOS,8,,95,15,38,.395,,,,15,38,.395,.395,5,14,.357,,,29,2,,,,18,35
51,Guy Rodgers*\rodgegu01,PG,24,PHW,9,,370,49,136,.360,,,,49,136,.360,.360,20,36,.556,,,77,54,,,,39,118
52,Joe Ruklick\ruklijo01,PF,21,PHW,4,,15,2,9,.222,,,,2,9,.222,.222,0,0,,,,5,0,,,,3,4
53,Bill Russell*\russebi01,C,25,BOS,13,,572,94,206,.456,,,,94,206,.456,.456,53,75,.707,,,336,38,,,,38,241
54,Woody Sauldsberry\sauldwo01,PF,25,PHW,9,,298,54,159,.340,,,,54,159,.340,.340,8,14,.571,,,64,12,,,,40,116
55,Dolph Schayes*\schaydo01,PF,31,SYR,3,,126,30,66,.455,,,,30,66,.455,.455,28,30,.933,,,48,8,,,,10,88
56,Frank Selvy\selvyfr01,SG,27,MNL,9,,330,55,153,.359,,,,55,153,.359,.359,31,44,.705,,,55,29,,,,21,141
57,Chuck Share\sharech01,C,32,MNL,9,,123,6,14,.429,,,,6,14,.429,.429,10,11,.909,,,34,5,,,,26,22
58,Bill Sharman*\sharmbi01,SG,33,BOS,13,,364,88,209,.421,,,,88,209,.421,.421,43,53,.811,,,45,20,,,,22,219
59,Gene Shue\shuege01,PG,28,DET,2,,89,15,38,.395,,,,15,38,.395,.395,18,20,.900,,,12,6,,,,5,48
60,George Yardley*\yardlge01,SF,31,SYR,3,,88,15,39,.385,,,,15,39,.385,.385,10,12,.833,,,17,1,,,,9,40
