Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo\afflaar01,SG,24,DEN,6,6,120,20,32,.625,6,14,.429,14,18,.778,.719,9,11,.818,1,11,12,7,1,2,4,21,55
2,LaMarcus Aldridge\aldrila01,PF,24,POR,6,6,229,40,93,.430,1,2,.500,39,91,.429,.435,33,44,.750,10,26,36,13,7,11,11,16,114
3,Malik Allen\allenma01,PF,31,DEN,4,0,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,1,3,0,1,0,0,2,0
4,Ray Allen\allenra02,SG,34,BOS,24,24,925,131,304,.431,56,145,.386,75,159,.472,.523,69,80,.863,12,68,80,63,22,3,36,74,387
5,Tony Allen\allento01,SG,28,BOS,24,0,391,47,98,.480,0,5,.000,47,93,.505,.480,28,36,.778,13,28,41,17,25,14,23,58,122
6,Lou Amundson\amundlo01,PF,27,PHO,16,0,194,19,36,.528,0,0,,19,36,.528,.528,9,21,.429,30,26,56,1,6,7,6,31,47
7,Chris Andersen\anderch01,PF,31,DEN,6,0,116,9,17,.529,0,0,,9,17,.529,.529,9,14,.643,7,20,27,1,1,6,4,14,27
8,Ryan Anderson\anderry01,PF,21,ORL,9,0,89,9,29,.310,4,14,.286,5,15,.333,.379,1,1,1.000,8,23,31,3,2,2,5,12,23
9,Carmelo Anthony\anthoca01,SF,25,DEN,6,6,254,64,138,.464,6,19,.316,58,119,.487,.486,50,57,.877,14,37,51,20,12,3,21,26,184
10,Joel Anthony\anthojo01,C,27,MIA,5,0,79,5,7,.714,0,0,,5,7,.714,.714,3,4,.750,6,3,9,1,2,5,1,9,13
11,Carlos Arroyo\arroyca01,PG,30,MIA,5,5,115,12,26,.462,0,1,.000,12,25,.480,.462,2,2,1.000,2,7,9,11,3,0,3,9,26
