Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,24,MIL,11,,510,139,318,.437,,,,139,318,.437,.437,38,54,.704,,,200,56,,,,35,316
2,Don Adams\adamsdo01,SF,24,ATL,6,,188,20,56,.357,,,,20,56,.357,.357,16,23,.696,,,38,12,,,,25,56
3,Lucius Allen\allenlu01,PG,24,MIL,11,,386,78,166,.470,,,,78,166,.470,.470,41,54,.759,,,38,42,,,,30,197
4,Dick Barnett\barnedi01,SG,35,NYK,12,,131,23,49,.469,,,,23,49,.469,.469,5,12,.417,,,8,10,,,,19,51
5,Jim Barnett\barneji02,PG,27,GSW,5,,197,39,91,.429,,,,39,91,.429,.429,30,41,.732,,,20,26,,,,20,108
6,Walt Bellamy*\bellawa01,C,32,ATL,6,,247,42,86,.488,,,,42,86,.488,.488,27,43,.628,,,82,11,,,,20,111
7,John Block\blockjo01,PF,27,MIL,11,,156,20,52,.385,,,,20,52,.385,.385,15,18,.833,,,55,6,,,,15,55
8,Tom Boerwinkle\boerwto01,C,26,CHI,1,,8,0,3,.000,,,,0,3,.000,.000,0,0,,,,6,3,,,,0,0
9,Bill Bradley*\bradlbi01,SF,28,NYK,16,,594,106,227,.467,,,,106,227,.467,.467,47,56,.839,,,47,54,,,,66,259
10,Wilt Chamberlain*\chambwi01,C,35,LAL,15,,703,80,142,.563,,,,80,142,.563,.563,60,122,.492,,,315,49,,,,47,220
11,Don Chaney\chanedo01,SG,25,BOS,11,,271,41,81,.506,,,,41,81,.506,.506,15,20,.750,,,39,22,,,,39,97
12,Phil Chenier\cheniph01,SG,21,BAL,6,,153,22,59,.373,,,,22,59,.373,.373,10,12,.833,,,16,5,,,,16,54
13,Bob Christian\chrisbo01,C,25,ATL,6,,34,3,8,.375,,,,3,8,.375,.375,1,1,1.000,,,7,0,,,,10,7
14,Archie Clark\clarkar01,PG,30,BAL,6,,271,55,126,.437,,,,55,126,.437,.437,50,59,.847,,,24,47,,,,15,160
15,Jim Cleamons\cleamji01,PG,22,LAL,6,,17,4,7,.571,,,,4,7,.571,.571,0,0,,,,4,4,,,,3,8
16,Dave Cowens*\cowenda01,C,23,BOS,11,,441,71,156,.455,,,,71,156,.455,.455,28,47,.596,,,152,33,,,,50,170
17,Bob Dandridge\dandrbo01,SF,24,MIL,11,,441,100,202,.495,,,,100,202,.495,.495,37,50,.740,,,97,21,,,,47,237
18,Dave DeBusschere*\debusda01,PF,31,NYK,16,,616,109,242,.450,,,,109,242,.450,.450,48,64,.750,,,193,37,,,,51,266
19,Jackie Dinkins\dinkija01,SF,22,CHI,1,,1,1,1,1.000,,,,1,1,1.000,1.000,0,0,,,,0,0,,,,0,2
20,Terry Driscoll\driscte01,PF,24,BAL,1,,2,1,1,1.000,,,,1,1,1.000,1.000,1,1,1.000,,,1,0,,,,0,3
