Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Henry Akin\akinhe01,PF,22,NYK,2,,16,1,7,.143,,,,1,7,.143,.143,1,2,.500,,,8,0,,,,3,3
2,Al Attles\attleal01,PG,30,SFW,15,,237,20,46,.435,,,,20,46,.435,.435,6,16,.375,,,62,38,,,,45,46
3,Jim Barnes\barneji01,PF,25,LAL,3,,50,7,19,.368,,,,7,19,.368,.368,5,5,1.000,,,12,2,,,,7,19
4,Jim Barnett\barneji02,SG,22,BOS,5,,26,6,21,.286,,,,6,21,.286,.286,2,2,1.000,,,4,1,,,,5,14
5,Rick Barry*\barryri01,SF,22,SFW,15,,614,197,489,.403,,,,197,489,.403,.403,127,157,.809,,,113,58,,,,49,521
6,Elgin Baylor*\bayloel01,SF,32,LAL,3,,121,28,76,.368,,,,28,76,.368,.368,15,20,.750,,,39,9,,,,6,71
7,Zelmo Beaty*\beatyze01,C,27,STL,9,,318,46,104,.442,,,,46,104,.442,.442,51,65,.785,,,89,12,,,,34,143
8,Walt Bellamy*\bellawa01,C,27,NYK,4,,157,28,54,.519,,,,28,54,.519,.519,17,29,.586,,,66,12,,,,15,73
9,John Block\blockjo01,PF,22,LAL,1,,1,0,0,,,,,0,0,,,0,0,,,,0,0,,,,0,0
10,Bob Boozer\boozebo01,PF,29,CHI,3,,105,24,38,.632,,,,24,38,.632,.632,11,14,.786,,,35,1,,,,8,59
11,Bill Bridges\bridgbi01,PF,27,STL,9,,369,48,128,.375,,,,48,128,.375,.375,45,67,.672,,,169,22,,,,36,141
12,Em Bryant\bryanem01,PG,28,NYK,4,,76,5,21,.238,,,,5,21,.238,.238,11,11,1.000,,,9,9,,,,16,21
13,Joe Caldwell\caldwjo01,SF,25,STL,9,,217,42,105,.400,,,,42,105,.400,.400,26,39,.667,,,39,13,,,,27,110
14,Wilt Chamberlain*\chambwi01,C,30,PHI,15,,718,132,228,.579,,,,132,228,.579,.579,62,160,.388,,,437,135,,,,37,326
15,Jerry Chambers\chambje01,SF,23,LAL,3,,44,12,23,.522,,,,12,23,.522,.522,7,7,1.000,,,8,1,,,,7,31
16,Len Chappell\chapple01,C,26,CIN,4,,66,10,27,.370,,,,10,27,.370,.370,2,4,.500,,,13,9,,,,14,22
17,Archie Clark\clarkar01,SG,25,LAL,3,,125,32,62,.516,,,,32,62,.516,.516,13,17,.765,,,13,15,,,,11,77
18,Barry Clemens\clemeba01,SF,23,CHI,3,,20,0,4,.000,,,,0,4,.000,.000,6,7,.857,,,3,2,,,,3,6
19,Larry Costello\costela01,PG,35,PHI,2,,25,6,8,.750,,,,6,8,.750,.750,5,5,1.000,,,4,3,,,,2,17
20,Mel Counts\countme01,C,25,LAL,3,,29,5,19,.263,,,,5,19,.263,.263,4,4,1.000,,,8,0,,,,6,14
21,Freddie Crawford\crawffr01,SG,25,NYK,4,,112,31,73,.425,,,,31,73,.425,.425,6,12,.500,,,24,16,,,,16,68
22,Billy Cunningham*\cunnibi01,SF,23,PHI,15,,339,83,221,.376,,,,83,221,.376,.376,59,90,.656,,,93,33,,,,53,225
23,Dave Deutsch\deutsda01,G,21,NYK,1,,7,1,5,.200,,,,1,5,.200,.200,0,0,,,,3,1,,,,0,2
24,Connie Dierking\dierkco01,C,30,CIN,4,,151,32,75,.427,,,,32,75,.427,.427,6,6,1.000,,,52,14,,,,13,70
25,Joe Ellis\ellisjo01,SF,22,SFW,3,,6,1,4,.250,,,,1,4,.250,.250,0,0,,,,1,2,,,,2,2
26,Wayne Embry*\embrywa01,C,29,BOS,5,,38,12,31,.387,,,,12,31,.387,.387,2,4,.500,,,13,3,,,,9,26
27,Keith Erickson\erickke01,SF,22,CHI,3,,68,12,27,.444,,,,12,27,.444,.444,0,0,,,,11,4,,,,12,24
28,Hank Finkel\finkeha01,C,24,LAL,1,,1,0,0,,,,,0,0,,,0,0,,,,0,0,,,,0,0
29,Dave Gambee\gambeda01,SF,29,PHI,5,,24,6,11,.545,,,,6,11,.545,.545,6,6,1.000,,,6,2,,,,6,18
30,Gail Goodrich*\goodrga01,SG,23,LAL,3,,81,11,31,.355,,,,11,31,.355,.355,11,18,.611,,,9,10,,,,5,33
31,Hal Greer*\greerha01,SG,30,PHI,15,,688,161,375,.429,,,,161,375,.429,.429,94,118,.797,,,88,79,,,,55,416
32,Richie Guerin*\gueriri01,SG,34,STL,9,,228,36,86,.419,,,,36,86,.419,.419,24,30,.800,,,23,39,,,,23,96
33,Matt Guokas\guokama02,SG,22,PHI,15,,252,26,64,.406,,,,26,64,.406,.406,13,17,.765,,,30,23,,,,33,65
34,Happy Hairston\hairsha01,SF,24,CIN,4,,140,28,54,.519,,,,28,54,.519,.519,8,15,.533,,,27,6,,,,15,64
35,John Havlicek*\havlijo01,SF,26,BOS,9,,330,95,212,.448,,,,95,212,.448,.448,57,71,.803,,,73,28,,,,30,247
36,Tom Hawkins\hawkito01,SF,30,LAL,3,,95,13,31,.419,,,,13,31,.419,.419,4,8,.500,,,20,10,,,,12,30
37,Walt Hazzard\abdulma01,PG,24,LAL,3,,86,6,25,.240,,,,6,25,.240,.240,8,10,.800,,,8,16,,,,11,20
38,Fred Hetzel\hetzefr01,PF,24,SFW,13,,308,51,133,.383,,,,51,133,.383,.383,22,28,.786,,,93,23,,,,36,124
39,Bailey Howell*\howelba01,PF,30,BOS,9,,241,59,122,.484,,,,59,122,.484,.484,20,30,.667,,,66,5,,,,35,138
40,Lou Hudson\hudsolo01,SF,22,STL,9,,317,77,179,.430,,,,77,179,.430,.430,49,68,.721,,,48,15,,,,35,203
41,Darrall Imhoff\imhofda01,C,28,LAL,3,,86,13,24,.542,,,,13,24,.542,.542,4,5,.800,,,37,5,,,,8,30
42,Luke Jackson\jackslu01,PF,25,PHI,15,,543,64,161,.398,,,,64,161,.398,.398,37,51,.725,,,176,30,,,,47,165
43,Neil Johnson\johnsne02,PF,23,NYK,4,,64,8,27,.296,,,,8,27,.296,.296,7,8,.875,,,23,5,,,,8,23
44,K.C. Jones*\joneskc01,PG,34,BOS,9,,254,24,75,.320,,,,24,75,.320,.320,11,18,.611,,,24,48,,,,36,59
45,Sam Jones*\jonessa01,SG,33,BOS,9,,326,95,207,.459,,,,95,207,.459,.459,50,58,.862,,,46,28,,,,30,240
46,Wali Jones\joneswa02,PG,24,PHI,15,,476,109,244,.447,,,,109,244,.447,.447,45,58,.776,,,42,61,,,,58,263
47,Toby Kimball\kimbato01,PF,24,BOS,1,,4,0,2,.000,,,,0,2,.000,.000,0,0,,,,3,0,,,,1,0
48,Jim King\kingji01,SG,25,SFW,15,,458,102,216,.472,,,,102,216,.472,.472,40,58,.690,,,101,50,,,,59,244
49,Don Kojis\kojisdo01,SF,28,CHI,3,,104,23,48,.479,,,,23,48,.479,.479,5,8,.625,,,30,4,,,,10,51
50,Howard Komives\komivho01,PG,25,NYK,4,,128,16,59,.271,,,,16,59,.271,.271,10,13,.769,,,11,15,,,,13,42
51,Tommy Kron\kronto01,SG,23,STL,1,,1,0,1,.000,,,,0,1,.000,.000,0,0,,,,0,0,,,,1,0
52,Clyde Lee\leecl01,C,22,SFW,11,,130,19,57,.333,,,,19,57,.333,.333,2,10,.200,,,54,8,,,,20,40
53,Freddie Lewis\lewisfr02,PG,23,CIN,3,,9,4,9,.444,,,,4,9,.444,.444,0,0,,,,4,0,,,,1,8
54,Jerry Lucas*\lucasje01,PF,26,CIN,4,,183,24,55,.436,,,,24,55,.436,.436,2,2,1.000,,,77,8,,,,15,50
