Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Arizin*\arizipa01,SF,29,PHW,8,,309,66,169,.391,,,,66,169,.391,.391,56,72,.778,,,62,16,,,,26,188
2,Ernie Beck\becker01,SG,26,PHW,8,,156,23,61,.377,,,,23,61,.377,.377,6,9,.667,,,32,13,,,,16,52
3,Al Bianchi\biancal01,SG,25,SYR,2,,37,4,12,.333,,,,4,12,.333,.333,3,8,.375,,,7,2,,,,4,11
4,Nathaniel Clifton*\cliftna01,PF,35,DET,7,,74,11,30,.367,,,,11,30,.367,.367,6,8,.750,,,23,4,,,,11,28
5,Jack Coleman\colemja01,PF,33,STL,11,,243,38,89,.427,,,,38,89,.427,.427,23,40,.575,,,60,19,,,,38,99
6,Ed Conlin\conlied01,SF,24,SYR,3,,113,14,45,.311,,,,14,45,.311,.311,5,7,.714,,,21,4,,,,10,33
7,Larry Costello\costela01,PG,26,SYR,3,,134,10,34,.294,,,,10,34,.294,.294,14,14,1.000,,,25,12,,,,6,34
8,Bob Cousy*\cousybo01,PG,29,BOS,11,,457,67,196,.342,,,,67,196,.342,.342,64,75,.853,,,71,82,,,,20,198
9,Walt Davis\daviswa01,PF,27,STL,9,,66,11,29,.379,,,,11,29,.379,.379,10,12,.833,,,27,3,,,,22,32
10,George Dempsey\dempsge01,PG,28,PHW,8,,101,14,28,.500,,,,14,28,.500,.500,5,9,.556,,,18,6,,,,11,33
11,Walter Dukes\dukeswa01,C,27,DET,7,,286,37,101,.366,,,,37,101,.366,.366,37,56,.661,,,97,4,,,,38,111
12,Pat Dunn\dunnpa01,SG,26,PHW,3,,8,0,4,.000,,,,0,4,.000,.000,0,0,,,,1,1,,,,1,0
13,Harry Gallatin*\gallaha01,PF,30,DET,7,,182,32,87,.368,,,,32,87,.368,.368,26,37,.703,,,70,11,,,,27,90
14,Jack George\georgja01,PG,29,PHW,8,,277,30,81,.370,,,,30,81,.370,.370,16,20,.800,,,38,31,,,,14,76
15,Tom Gola*\golato01,SG,25,PHW,8,,327,36,109,.330,,,,36,109,.330,.330,38,51,.745,,,84,32,,,,24,110
16,Joe Graboski\grabojo01,PF,28,PHW,8,,252,40,138,.290,,,,40,138,.290,.290,18,23,.783,,,82,30,,,,21,98
17,Cliff Hagan*\hagancl01,SF,26,STL,11,,418,111,221,.502,,,,111,221,.502,.502,83,99,.838,,,115,37,,,,48,305
