Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jordan Adams\adamsjo01,SG,20,MEM,4,0,10,2,3,.667,1,1,1.000,1,2,.500,.833,2,4,.500,0,1,1,0,1,0,0,0,7
2,Arron Afflalo\afflaar01,SG,29,POR,3,3,60,2,12,.167,1,4,.250,1,8,.125,.208,0,1,.000,0,7,7,2,0,0,3,6,5
3,Alexis Ajinca\ajincal01,C,26,NOP,3,0,10,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,1,1,1,1,0,0,2,8
4,LaMarcus Aldridge\aldrila01,PF,29,POR,5,5,208,37,112,.330,3,11,.273,34,101,.337,.344,32,36,.889,21,35,56,9,2,12,8,16,109
5,Tony Allen\allento01,SG,33,MEM,10,9,279,28,57,.491,1,7,.143,27,50,.540,.500,9,12,.750,14,38,52,15,24,11,13,27,66
6,Al-Farouq Aminu\aminual01,SF,24,DAL,5,2,150,17,31,.548,7,11,.636,10,20,.500,.661,15,19,.789,14,22,36,6,10,8,6,15,56
7,Alan Anderson\anderal01,SG,32,BRK,6,0,142,25,41,.610,10,16,.625,15,25,.600,.732,6,9,.667,2,19,21,7,4,1,8,9,66
8,Ryan Anderson\anderry01,PF,26,NOP,4,0,95,16,36,.444,5,12,.417,11,24,.458,.514,6,6,1.000,7,10,17,9,0,2,4,12,43
9,Giannis Antetokounmpo\antetgi01,SG,20,MIL,6,6,201,26,71,.366,0,1,.000,26,70,.371,.366,17,23,.739,12,30,42,16,3,9,11,18,69
10,Pero Antic\anticpe01,PF,32,ATL,15,1,199,16,50,.320,11,32,.344,5,18,.278,.430,20,25,.800,9,34,43,4,2,3,5,38,63
11,Trevor Ariza\arizatr01,SF,29,HOU,17,17,655,75,176,.426,36,96,.375,39,80,.488,.528,38,42,.905,18,91,109,44,30,2,23,51,224
12,Omer Asik\asikom01,C,28,NOP,4,4,79,2,10,.200,0,0,,2,10,.200,.200,4,7,.571,12,17,29,6,5,0,5,10,8
13,Jeff Ayres\pendeje02,PF,27,SAS,3,0,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,2,0,0,0,0,0
14,Leandro Barbosa\barbole01,SG,32,GSW,21,0,229,39,88,.443,8,23,.348,31,65,.477,.489,18,22,.818,8,19,27,18,6,1,12,24,104
15,J.J. Barea\bareajo01,PG,30,DAL,5,2,154,25,57,.439,4,16,.250,21,41,.512,.474,5,6,.833,5,19,24,37,4,0,14,17,59
16,Harrison Barnes\barneha02,SF,22,GSW,21,21,681,88,200,.440,22,62,.355,66,138,.478,.495,25,34,.735,45,65,110,32,17,11,22,45,223
17,Matt Barnes\barnema02,SF,34,LAC,14,14,409,38,100,.380,16,60,.267,22,40,.550,.460,15,20,.750,16,55,71,22,20,10,16,54,107
18,Brandon Bass\bassbr01,PF,29,BOS,4,4,86,7,20,.350,0,0,,7,20,.350,.350,6,10,.600,3,5,8,10,1,3,3,4,20
19,Nicolas Batum\batumni01,SF,26,POR,5,5,209,24,70,.343,13,39,.333,11,31,.355,.436,10,13,.769,6,37,43,26,1,1,12,11,71
20,Jerryd Bayless\bayleje01,PG,26,MIL,6,0,120,12,35,.343,2,7,.286,10,28,.357,.371,13,17,.765,4,11,15,18,2,2,4,12,39
21,Aron Baynes\baynear01,C,28,SAS,4,0,40,3,10,.300,0,0,,3,10,.300,.300,3,3,1.000,3,7,10,1,0,0,3,9,9
22,Kent Bazemore\bazemke01,SG,25,ATL,16,2,303,30,71,.423,6,28,.214,24,43,.558,.465,21,31,.677,3,50,53,13,11,9,11,25,87
23,Bradley Beal\bealbr01,SG,21,WAS,10,10,418,81,200,.405,23,63,.365,58,137,.423,.463,49,59,.831,14,41,55,46,16,7,26,19,234
24,Marco Belinelli\belinma01,SG,28,SAS,7,0,116,20,39,.513,14,30,.467,6,9,.667,.692,11,13,.846,2,11,13,10,2,0,5,10,65
25,Steve Blake\blakest01,PG,34,POR,5,0,43,2,11,.182,1,8,.125,1,3,.333,.227,2,2,1.000,0,1,1,8,0,1,2,4,7
26,Bojan Bogdanovic\bogdabo02,SF,25,BRK,6,5,206,23,59,.390,11,33,.333,12,26,.462,.483,5,7,.714,3,20,23,10,4,2,8,12,62
27,Andrew Bogut\bogutan01,C,30,GSW,19,18,440,42,75,.560,0,1,.000,42,74,.568,.560,5,13,.385,41,112,153,36,11,34,26,69,89
28,Matt Bonner\bonnema01,PF,34,SAS,7,0,36,2,10,.200,2,9,.222,0,1,.000,.300,0,0,,0,6,6,1,0,1,1,8,6
29,Avery Bradley\bradlav01,SG,24,BOS,4,4,133,19,50,.380,5,19,.263,14,31,.452,.430,6,7,.857,3,12,15,3,3,0,3,13,49
30,Elton Brand\brandel01,C,35,ATL,3,0,4,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,0,3,1
31,Corey Brewer\breweco01,SF,28,HOU,17,0,428,72,167,.431,12,42,.286,60,125,.480,.467,35,55,.636,11,36,47,19,11,4,15,48,191
32,Aaron Brooks\brookaa01,PG,30,CHI,12,0,132,21,61,.344,8,26,.308,13,35,.371,.410,4,7,.571,3,15,18,11,3,1,9,16,54
33,Markel Brown\brownma02,SG,23,BRK,2,1,10,2,5,.400,0,2,.000,2,3,.667,.400,2,2,1.000,2,0,2,1,0,0,2,0,6
34,Jimmy Butler\butleji01,SG,25,CHI,12,12,506,94,213,.441,28,72,.389,66,141,.468,.507,59,72,.819,18,49,67,38,29,9,21,27,275
35,Rasual Butler\butlera01,SF,35,WAS,2,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,2,0
36,Will Bynum\bynumwi01,SG,32,WAS,3,0,31,7,14,.500,1,2,.500,6,12,.500,.536,4,5,.800,2,1,3,3,2,1,5,6,19
37,Nick Calathes\calatni01,SG,25,MEM,9,3,126,12,36,.333,6,13,.462,6,23,.261,.417,3,8,.375,1,15,16,16,9,1,10,15,33
38,Clint Capela\capelca01,C,20,HOU,17,0,127,21,31,.677,0,0,,21,31,.677,.677,15,29,.517,13,29,42,5,3,9,3,19,57
39,DeMarre Carroll\carrode01,SF,28,ATL,16,16,558,86,177,.486,29,72,.403,57,105,.543,.568,32,41,.780,26,71,97,32,18,5,15,36,233
40,Vince Carter\cartevi01,SG,38,MEM,11,0,196,27,67,.403,7,28,.250,20,39,.513,.455,8,9,.889,13,34,47,11,7,2,7,17,69
41,Michael Carter-Williams\cartemi01,PG,23,MIL,6,6,191,33,78,.423,0,5,.000,33,73,.452,.423,7,12,.583,1,26,27,29,7,6,16,14,73
42,Tyson Chandler\chandty01,C,32,DAL,5,5,160,19,29,.655,0,0,,19,29,.655,.655,13,26,.500,27,27,54,1,3,6,5,16,51
43,Earl Clark\clarkea01,PF,27,BRK,2,0,13,2,10,.200,2,3,.667,0,7,.000,.300,0,0,,0,2,2,0,1,0,0,1,6
44,Norris Cole\coleno01,PG,26,NOP,4,0,106,15,36,.417,3,14,.214,12,22,.545,.458,2,3,.667,1,6,7,7,0,1,8,15,35
45,Mike Conley\conlemi01,PG,27,MEM,8,8,243,41,96,.427,10,33,.303,31,63,.492,.479,23,28,.821,0,9,9,40,11,0,12,10,115
46,Allen Crabbe\crabbal01,SG,22,POR,2,1,39,4,5,.800,2,2,1.000,2,3,.667,1.000,0,0,,0,3,3,1,2,1,1,1,10
47,Jamal Crawford\crawfja01,SG,34,LAC,14,0,379,67,186,.360,18,74,.243,49,112,.438,.409,26,30,.867,6,24,30,27,13,3,17,34,178
48,Jae Crowder\crowdja01,SF,24,BOS,4,1,100,15,29,.517,3,10,.300,12,19,.632,.569,10,13,.769,8,12,20,8,4,3,5,14,43
49,Dante Cunningham\cunnida01,PF,27,NOP,4,0,75,9,11,.818,0,0,,9,11,.818,.818,3,3,1.000,4,14,18,2,3,4,0,7,21
50,Stephen Curry\curryst01,PG,26,GSW,21,21,826,200,439,.456,98,232,.422,102,207,.493,.567,96,115,.835,20,85,105,134,39,3,82,47,594
51,Luigi Datome\datomlu01,SF,27,BOS,3,0,14,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,1,1,1,0,0,0,4,4
52,Anthony Davis\davisan02,PF,21,NOP,4,4,172,47,87,.540,0,2,.000,47,85,.553,.540,32,36,.889,9,35,44,8,5,12,13,12,126
53,Glen Davis\davisgl01,PF,29,LAC,14,0,144,17,38,.447,0,1,.000,17,37,.459,.447,7,9,.778,9,18,27,3,5,5,9,33,41
54,Matthew Dellavedova\dellama01,SG,24,CLE,20,7,497,47,136,.346,24,76,.316,23,60,.383,.434,25,32,.781,10,31,41,53,9,0,35,52,143
55,DeMar DeRozan\derozde01,SG,25,TOR,4,4,159,32,80,.400,3,8,.375,29,72,.403,.419,14,17,.824,5,20,25,23,6,0,10,12,81
56,Boris Diaw\diawbo01,PF,32,SAS,7,0,198,34,71,.479,4,18,.222,30,53,.566,.507,9,13,.692,13,30,43,25,5,3,9,24,81
57,Joey Dorsey\dorsejo01,PF,31,HOU,6,0,13,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,1,3,4,2,0,0,1,2,1
58,Jared Dudley\dudleja01,SG,29,MIL,6,0,110,14,30,.467,8,14,.571,6,16,.375,.600,4,7,.571,3,8,11,8,12,2,5,12,40
