Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,36,LAL,21,,767,206,371,.555,0,0,,206,371,.555,.555,90,120,.750,56,117,173,79,23,45,45,71,502
2,Alvan Adams\adamsal01,C,29,PHO,17,,312,53,126,.421,0,0,,53,126,.421,.421,36,53,.679,27,60,87,42,17,11,34,53,142
3,Mark Aguirre\aguirma01,SF,24,DAL,10,,350,88,184,.478,0,5,.000,88,179,.492,.478,44,57,.772,21,55,76,32,5,5,27,34,220
4,Danny Ainge\aingeda01,SG,24,BOS,19,,253,41,90,.456,2,9,.222,39,81,.481,.467,7,10,.700,4,12,16,38,9,2,13,36,91
5,J.J. Anderson\anderjj01,SF,23,UTA,5,,13,5,8,.625,1,1,1.000,4,7,.571,.688,0,0,,3,1,4,0,0,1,0,2,11
6,Richard Anderson\anderri01,PF,23,DEN,4,,37,6,15,.400,0,1,.000,6,14,.429,.400,4,6,.667,1,8,9,5,0,1,1,6,16
7,Thurl Bailey\baileth01,PF,22,UTA,11,,340,50,97,.515,0,2,.000,50,95,.526,.515,17,21,.810,15,46,61,10,2,11,16,33,117
8,Greg Ballard\ballagr01,SF,29,WSB,4,,168,27,59,.458,0,1,.000,27,58,.466,.458,12,13,.923,7,17,24,14,7,3,8,12,66
9,Kent Benson\bensoke01,C,29,DET,5,,129,16,37,.432,0,0,,16,37,.432,.432,6,10,.600,9,21,30,7,5,7,3,14,38
10,Larry Bird*\birdla01,PF,27,BOS,23,,961,229,437,.524,7,17,.412,222,420,.529,.532,167,190,.879,62,190,252,136,54,27,87,71,632
11,Otis Birdsong\birdsot01,SG,28,NJN,11,,387,71,171,.415,0,1,.000,71,170,.418,.415,25,48,.521,7,19,26,41,20,1,22,38,167
12,Rolando Blackman\blackro01,SG,24,DAL,10,,397,93,175,.531,0,0,,93,175,.531,.531,53,63,.841,15,26,41,40,6,4,24,15,239
13,Tom Boswell\bosweto01,PF,30,UTA,5,,55,3,4,.750,0,0,,3,4,.750,.750,2,5,.400,2,4,6,2,0,1,4,12,8
14,Randy Breuer\breuera01,C,23,MIL,12,,66,11,26,.423,0,0,,11,26,.423,.423,3,5,.600,6,11,17,4,0,6,2,18,25
15,Junior Bridgeman\bridgju01,SF,30,MIL,16,,499,88,193,.456,1,9,.111,87,184,.473,.459,53,65,.815,12,52,64,44,6,5,22,37,230
16,Fred Brown\brownfr01,SG,35,SEA,5,,88,20,47,.426,1,3,.333,19,44,.432,.436,8,11,.727,2,5,7,10,4,0,3,4,49
17,Rickey Brown\brownri01,C,25,ATL,5,,83,10,21,.476,0,0,,10,21,.476,.476,10,12,.833,5,14,19,2,0,1,5,19,30
