Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby\abdelal01,PF,22,POR,5,0,13,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,2,3,0,0,0,0,0,4
2,Mark Aguirre\aguirma01,SF,31,DET,15,2,397,90,178,.506,12,33,.364,78,145,.538,.539,42,51,.824,17,44,61,29,12,1,20,41,234
3,Danny Ainge\aingeda01,SG,31,POR,16,0,277,47,105,.448,11,36,.306,36,69,.522,.500,23,28,.821,1,27,28,31,12,4,24,33,128
4,Ron Anderson\anderro01,SF,32,PHI,8,0,223,35,88,.398,1,5,.200,34,83,.410,.403,17,19,.895,9,12,21,19,6,0,12,24,88
5,Willie Anderson\anderwi01,SG,24,SAS,4,4,159,33,68,.485,2,10,.200,31,58,.534,.500,8,13,.615,2,17,19,19,6,2,13,16,76
6,B.J. Armstrong\armstbj01,PG,23,CHI,17,0,273,35,70,.500,3,5,.600,32,65,.492,.521,20,25,.800,5,22,27,43,19,1,13,13,93
7,Vincent Askew\askewvi01,SG,24,GSW,6,0,41,6,15,.400,0,0,,6,15,.400,.400,3,6,.500,5,6,11,2,2,0,0,6,15
8,Thurl Bailey\baileth01,PF,29,UTA,9,0,228,23,64,.359,0,0,,23,64,.359,.359,22,25,.880,11,21,32,9,3,6,12,27,68
9,Charles Barkley*\barklch01,SF,27,PHI,8,8,326,74,125,.592,2,20,.100,72,105,.686,.600,49,75,.653,31,53,84,48,15,3,25,23,199
10,Dana Barros\barroda01,PG,23,SEA,3,0,25,9,13,.692,2,5,.400,7,8,.875,.769,3,4,.750,1,3,4,5,3,0,3,1,23
11,John Battle\battljo01,SG,28,ATL,5,0,107,16,44,.364,2,5,.400,14,39,.359,.386,24,25,.960,4,6,10,11,1,0,9,11,58
12,William Bedford\bedfowi01,C,27,DET,8,3,65,5,24,.208,0,2,.000,5,22,.227,.208,9,14,.643,9,13,22,4,2,4,4,14,19
13,Benoit Benjamin\benjabe01,C,26,SEA,5,5,163,20,41,.488,0,0,,20,41,.488,.488,29,32,.906,7,26,33,1,3,13,11,17,69
14,Larry Bird*\birdla01,SF,34,BOS,10,10,396,62,152,.408,3,21,.143,59,131,.450,.418,44,51,.863,8,64,72,65,13,3,19,28,171
15,Manute Bol\bolma01,C,28,PHI,8,0,109,9,18,.500,0,0,,9,18,.500,.500,6,9,.667,4,15,19,1,1,12,5,14,24
16,Frank Brickowski\brickfr01,PF,31,MIL,3,3,110,24,45,.533,0,2,.000,24,43,.558,.533,7,14,.500,5,21,26,3,1,2,6,16,55
17,Dee Brown\brownde01,PG,22,BOS,11,0,284,53,108,.491,0,5,.000,53,103,.515,.491,28,34,.824,9,36,45,41,11,6,22,32,134
18,Mike Brown\brownmi01,C,27,UTA,9,0,223,27,56,.482,0,0,,27,56,.482,.482,32,38,.842,20,46,66,5,3,1,12,36,86
19,Tony Brown\brownto01,SG,30,UTA,4,0,29,4,8,.500,1,2,.500,3,6,.500,.563,0,0,,2,1,3,1,0,0,1,2,9
20,Mark Bryant\bryanma01,PF,25,POR,14,0,137,10,22,.455,0,0,,10,22,.455,.455,14,16,.875,14,18,32,2,2,1,4,25,34
21,Michael Cage\cagemi01,C,29,SEA,5,0,80,6,14,.429,0,0,,6,14,.429,.429,13,17,.765,9,12,21,2,3,2,3,12,25
22,Elden Campbell\campbel01,PF,22,LAL,14,0,138,25,38,.658,0,0,,25,38,.658,.658,7,15,.467,8,21,29,3,6,8,6,23,57
23,Joe Barry Carroll\carrojo01,C,32,PHO,2,0,15,4,8,.500,0,0,,4,8,.500,.500,0,1,.000,0,1,1,2,0,1,1,0,8
24,Bill Cartwright\cartwbi01,C,33,CHI,17,17,511,70,135,.519,0,0,,70,135,.519,.519,22,32,.688,25,55,80,32,9,7,21,55,162
25,Cedric Ceballos\cebalce01,SF,21,PHO,3,0,24,7,12,.583,0,0,,7,12,.583,.583,2,6,.333,3,2,5,2,2,0,1,0,16
26,Tom Chambers\chambto01,PF,31,PHO,4,4,142,27,66,.409,0,5,.000,27,61,.443,.409,14,19,.737,2,21,23,10,7,5,12,12,68
27,Maurice Cheeks\cheekma01,PG,34,NYK,3,3,101,14,23,.609,1,3,.333,13,20,.650,.630,1,2,.500,3,6,9,16,3,1,8,9,30
28,Lester Conner\connele01,PG,31,MIL,1,0,7,1,1,1.000,0,0,,1,1,1.000,1.000,0,1,.000,1,0,1,2,0,0,1,1,2
29,Wayne Cooper\coopewa01,C,34,POR,3,0,13,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,4,5,1,0,0,1,2,2
30,Dave Corzine\corzida01,C,34,SEA,2,0,12,2,3,.667,0,0,,2,3,.667,.667,1,1,1.000,0,1,1,0,0,0,0,1,5
31,Terry Cummings\cummite01,PF,29,SAS,4,4,124,25,49,.510,0,1,.000,25,48,.521,.510,9,18,.500,14,23,37,4,3,2,9,13,59
32,Adrian Dantley*\dantlad01,SF,34,MIL,3,0,19,1,7,.143,0,0,,1,7,.143,.143,3,4,.750,2,2,4,0,0,0,2,0,5
