Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Arizin*\arizipa01,SF,27,PHW,10,,409,103,229,.450,,,,103,229,.450,.450,83,99,.838,,,84,29,,,,31,289
2,Ernie Barrett\barreer01,SG,26,BOS,3,,43,4,13,.308,,,,4,13,.308,.308,3,3,1.000,,,7,4,,,,7,11
3,Ernie Beck\becker01,SG,24,PHW,10,,250,31,72,.431,,,,31,72,.431,.431,22,31,.710,,,51,22,,,,32,84
4,Frankie Brian\brianfr01,PG,32,FTW,10,,166,26,68,.382,,,,26,68,.382,.382,17,21,.810,,,12,17,,,,15,69
5,Jack Coleman\colemja01,PF,31,STL,8,,331,44,112,.393,,,,44,112,.393,.393,22,35,.629,,,79,32,,,,31,110
6,Ed Conlin\conlied01,SF,22,SYR,8,,197,31,85,.365,,,,31,85,.365,.365,22,38,.579,,,47,9,,,,14,84
7,Chuck Cooper*\coopech01,SF,29,FTW,9,,59,5,26,.192,,,,5,26,.192,.192,2,3,.667,,,17,2,,,,5,12
8,Bob Cousy*\cousybo01,PG,27,BOS,3,,124,28,56,.500,,,,28,56,.500,.500,23,25,.920,,,24,26,,,,4,79
9,Walt Davis\daviswa01,PF,25,PHW,10,,69,10,22,.455,,,,10,22,.455,.455,3,6,.500,,,28,3,,,,21,23
10,George Dempsey\dempsge01,PG,26,PHW,10,,134,12,30,.400,,,,12,30,.400,.400,14,20,.700,,,25,13,,,,11,38
11,Corky Devlin\devlico01,SG,24,FTW,10,,275,41,101,.406,,,,41,101,.406,.406,15,25,.600,,,21,23,,,,21,97
12,Dick Farley\farledi01,SG,23,SYR,8,,169,34,72,.472,,,,34,72,.472,.472,19,31,.613,,,21,28,,,,31,87
13,Al Ferrari\ferraal01,SF,22,STL,8,,264,32,85,.376,,,,32,85,.376,.376,54,70,.771,,,33,24,,,,28,118
14,Larry Foust\foustla01,C,27,FTW,10,,289,49,130,.377,,,,49,130,.377,.377,70,89,.787,,,127,14,,,,38,168
15,Dick Garmaker\garmadi01,SG,23,MNL,3,,42,7,19,.368,,,,7,19,.368,.368,16,17,.941,,,8,11,,,,8,30
