Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,25,MIL,6,,276,59,138,.428,,,,59,138,.428,.428,19,35,.543,,,97,17,,,,26,137
2,Lucius Allen\allenlu01,PG,25,MIL,6,,203,36,89,.404,,,,36,89,.404,.404,22,28,.786,,,16,21,,,,15,94
3,Dennis Awtrey\awtrede01,C,24,CHI,7,,268,26,48,.542,,,,26,48,.542,.542,11,22,.500,,,77,31,,,,26,63
4,Dick Barnett\barnedi01,SG,36,NYK,4,,17,3,6,.500,,,,3,6,.500,.500,0,0,,,,0,2,,,,5,6
5,Jim Barnett\barneji02,PG,28,GSW,11,,336,60,147,.408,,,,60,147,.408,.408,23,27,.852,,,39,39,,,,28,143
6,Rick Barry*\barryri01,SF,28,GSW,11,,292,65,164,.396,,,,65,164,.396,.396,50,55,.909,,,54,24,,,,41,180
7,Walt Bellamy*\bellawa01,C,33,ATL,6,,247,34,86,.395,,,,34,86,.395,.395,14,31,.452,,,73,13,,,,17,82
8,Henry Bibby\bibbyhe01,PG,23,NYK,6,,43,8,18,.444,,,,8,18,.444,.444,4,8,.500,,,2,3,,,,5,20
9,Tom Boerwinkle\boerwto01,C,27,CHI,4,,30,4,6,.667,,,,4,6,.667,.667,1,1,1.000,,,9,11,,,,7,9
10,Steve Bracey\bracest01,PG,22,ATL,6,,123,24,47,.511,,,,24,47,.511,.511,11,16,.688,,,13,20,,,,13,59
11,Bill Bradley*\bradlbi01,SF,29,NYK,17,,587,99,221,.448,,,,99,221,.448,.448,40,50,.800,,,57,45,,,,59,238
12,Bill Bridges\bridgbi01,PF,33,LAL,17,,582,57,136,.419,,,,57,136,.419,.419,38,49,.776,,,158,29,,,,68,152
13,Wilt Chamberlain*\chambwi01,C,36,LAL,17,,801,64,116,.552,,,,64,116,.552,.552,49,98,.500,,,383,60,,,,48,177
14,Don Chaney\chanedo01,SG,26,BOS,12,,288,39,82,.476,,,,39,82,.476,.476,12,17,.706,,,40,25,,,,41,90
15,Phil Chenier\cheniph01,SG,22,BAL,5,,211,43,85,.506,,,,43,85,.506,.506,3,4,.750,,,21,17,,,,13,89
16,Archie Clark\clarkar01,PG,31,BAL,5,,214,46,92,.500,,,,46,92,.500,.500,14,18,.778,,,17,26,,,,20,106
17,Mel Counts\countme01,C,31,LAL,17,,327,61,133,.459,,,,61,133,.459,.459,32,41,.780,,,104,28,,,,51,154
