Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jim Baechtold\baechji01,SF,27,NYK,3,,115,17,45,.378,,,,17,45,.378,.378,14,15,.933,,,14,14,,,,13,48
2,Don Barksdale*\barksdo01,SF,31,BOS,7,,122,18,40,.450,,,,18,40,.450,.450,18,21,.857,,,35,10,,,,17,54
3,Bob Brannum\brannbo01,PF,29,BOS,7,,225,26,61,.426,,,,26,61,.426,.426,11,19,.579,,,79,13,,,,32,63
4,Carl Braun\braunca01,SG,27,NYK,3,,103,18,44,.409,,,,18,44,.409,.409,18,20,.900,,,14,16,,,,11,54
5,Frankie Brian\brianfr01,SG,31,FTW,11,,269,48,120,.400,,,,48,120,.400,.400,31,38,.816,,,22,27,,,,26,127
6,Bob Carney\carnebo01,SG,22,MNL,7,,41,1,8,.125,,,,1,8,.125,.125,8,9,.889,,,5,3,,,,7,10
7,Cal Christensen\chrisca01,SF,27,ROC,3,,30,2,8,.250,,,,2,8,.250,.250,3,6,.500,,,6,0,,,,1,7
8,Nathaniel Clifton*\cliftna01,PF,32,NYK,3,,110,20,52,.385,,,,20,52,.385,.385,19,24,.792,,,23,13,,,,12,59
9,Jack Coleman\colemja01,PF,30,ROC,3,,91,11,36,.306,,,,11,36,.306,.306,2,9,.222,,,28,8,,,,11,24
10,Bert Cook\cookbe01,SG,25,NYK,1,,20,4,6,.667,,,,4,6,.667,.667,0,2,.000,,,0,2,,,,3,8
11,Bob Cousy*\cousybo01,PG,26,BOS,7,,299,53,139,.381,,,,53,139,.381,.381,46,48,.958,,,43,65,,,,26,152
12,Bob Davies*\daviebo01,PG,35,ROC,3,,75,11,33,.333,,,,11,33,.333,.333,3,4,.750,,,6,9,,,,11,25
13,Dick Farley\farledi01,SG,22,SYR,11,,168,19,56,.339,,,,19,56,.339,.339,14,25,.560,,,13,20,,,,29,52
14,Ray Felix\felixra01,C,24,NYK,3,,63,2,16,.125,,,,2,16,.125,.125,13,21,.619,,,12,1,,,,6,17
15,Larry Foust\foustla01,C,26,FTW,11,,331,60,152,.395,,,,60,152,.395,.395,52,73,.712,,,107,26,,,,43,172
16,Harry Gallatin*\gallaha01,PF,27,NYK,3,,108,19,42,.452,,,,19,42,.452,.452,17,22,.773,,,44,7,,,,11,55
17,Don Henriksen\henrido01,PF,25,ROC,3,,70,3,12,.250,,,,3,12,.250,.250,7,10,.700,,,16,3,,,,5,13
18,Lew Hitch\hitchle01,PF,25,MNL,7,,137,16,40,.400,,,,16,40,.400,.400,23,29,.793,,,42,10,,,,9,55
19,Jim Holstein\holstji01,SF,24,MNL,7,,117,16,38,.421,,,,16,38,.421,.421,8,9,.889,,,30,6,,,,8,40
