Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,34,LAL,14,,493,115,221,.520,0,0,,115,221,.520,.520,55,87,.632,33,86,119,51,14,45,41,45,285
2,Alvan Adams\adamsal01,C,27,PHO,7,,233,48,92,.522,0,0,,48,92,.522,.522,22,28,.786,19,32,51,26,14,10,21,22,118
3,Danny Ainge\aingeda01,SG,22,BOS,10,,129,19,45,.422,2,4,.500,17,41,.415,.444,10,13,.769,6,7,13,11,2,1,11,21,50
4,Tiny Archibald*\architi01,PG,33,BOS,8,,277,30,70,.429,0,4,.000,30,66,.455,.429,25,28,.893,1,16,17,52,5,2,23,21,85
5,James Bailey\baileja01,PF,24,NJN,2,,26,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,2,4,6,1,2,1,3,5,4
6,Greg Ballard\ballagr01,SF,27,WSB,7,,268,36,100,.360,0,0,,36,100,.360,.360,21,25,.840,22,41,63,22,14,3,12,20,93
7,Gene Banks\banksge01,SF,22,SAS,9,,146,30,65,.462,0,1,.000,30,64,.469,.462,4,10,.400,21,22,43,9,4,3,6,12,64
8,Mike Bantom\bantomi01,SF,30,PHI,21,,399,36,91,.396,0,0,,36,91,.396,.396,19,42,.452,39,38,77,24,15,9,24,60,91
9,Larry Bird*\birdla01,PF,25,BOS,12,,490,88,206,.427,1,6,.167,87,200,.435,.430,37,45,.822,33,117,150,67,23,17,38,43,214
10,Charles Bradley\bradlch01,SG,22,BOS,7,,18,2,8,.250,0,0,,2,8,.250,.250,0,2,.000,1,4,5,1,1,0,4,6,4
11,Dudley Bradley\bradldu01,SG,24,PHO,7,,24,2,8,.250,0,0,,2,8,.250,.250,1,1,1.000,0,1,1,5,1,1,5,3,5
12,Mike Bratz\bratzmi01,PG,26,SAS,9,,180,15,52,.288,5,18,.278,10,34,.294,.337,8,10,.800,2,12,14,48,9,0,12,20,43
13,Jim Brewer\breweji01,PF,30,LAL,8,,57,3,6,.500,0,0,,3,6,.500,.500,0,0,,4,7,11,4,2,6,4,5,6
14,Fred Brown\brownfr01,SG,33,SEA,8,,158,43,89,.483,2,5,.400,41,84,.488,.494,7,10,.700,6,9,15,18,5,0,9,5,95
15,M.L. Carr\carrml01,SF,31,BOS,12,,305,37,105,.352,0,4,.000,37,101,.366,.352,15,23,.652,21,22,43,28,11,0,21,30,89
16,Harvey Catchings\catchha01,PF,30,MIL,6,,26,2,3,.667,0,0,,2,3,.667,.667,0,0,,3,4,7,0,0,3,3,9,4
17,Maurice Cheeks\cheekma01,PG,25,PHI,21,,765,125,265,.472,1,9,.111,124,256,.484,.474,50,65,.769,15,47,62,172,48,6,49,58,301
18,Jim Chones\choneji01,C,32,WSB,5,,30,2,9,.222,0,0,,2,9,.222,.222,1,3,.333,1,5,6,2,1,2,1,8,5
19,Don Collins\collido02,SG,23,WSB,7,,149,19,44,.432,0,0,,19,44,.432,.432,5,7,.714,9,13,22,6,4,1,11,25,43
20,Darwin Cook\cookda01,PG,23,NJN,2,,86,13,33,.394,0,3,.000,13,30,.433,.394,2,6,.333,0,3,3,9,2,2,9,7,28
21,Jeff Cook\cookje01,PF,25,PHO,7,,45,4,8,.500,0,0,,4,8,.500,.500,0,0,,6,3,9,7,2,2,2,5,8
22,Michael Cooper\coopemi01,SG,25,LAL,14,,383,70,124,.565,1,2,.500,69,122,.566,.569,25,34,.735,19,42,61,62,24,11,29,47,166
23,Dave Corzine\corzida01,C,25,SAS,9,,258,49,106,.462,0,0,,49,106,.462,.462,24,34,.706,38,47,85,17,6,9,20,30,122
24,Pat Cummings\cummipa01,PF,25,MIL,6,,44,4,11,.364,0,0,,4,11,.364,.364,1,2,.500,3,8,11,2,0,2,4,7,9
25,Earl Cureton\curetea01,PF,24,PHI,12,,75,13,41,.317,0,1,.000,13,40,.325,.317,6,9,.667,12,14,26,2,1,1,5,12,32
26,Charles Davis\davisch02,SF,23,WSB,6,,52,7,17,.412,0,1,.000,7,16,.438,.412,2,2,1.000,1,4,5,3,1,1,7,6,16
27,Walter Davis\daviswa03,SF,27,PHO,7,,173,52,116,.448,1,3,.333,51,113,.451,.453,22,24,.917,5,17,22,30,5,1,12,19,127
28,Darryl Dawkins\dawkida01,C,25,PHI,21,,460,99,178,.556,0,0,,99,178,.556,.556,33,50,.660,23,75,98,11,7,35,38,94,231
29,James Donaldson\donalja01,C,24,SEA,8,,189,18,43,.419,0,0,,18,43,.419,.419,18,24,.750,25,49,74,7,2,5,10,16,54
30,John Drew\drewjo01,SF,27,ATL,2,,59,8,22,.364,0,0,,8,22,.364,.364,7,12,.583,6,4,10,1,0,0,5,11,23
31,Mike Dunleavy\dunlemi01,SG,27,HOU,3,,66,9,22,.409,0,4,.000,9,18,.500,.409,5,6,.833,0,3,3,9,2,0,1,7,23
32,T.R. Dunn\dunntr01,SG,26,DEN,3,,81,6,13,.462,0,0,,6,13,.462,.462,7,8,.875,10,8,18,10,8,1,5,11,19
33,Craig Dykema\dykemcr01,SF,22,PHO,6,,12,1,6,.167,0,0,,1,6,.167,.167,0,0,,0,4,4,1,0,0,1,2,2
34,Franklin Edwards\edwarfr01,PG,22,PHI,9,,32,12,20,.600,1,1,1.000,11,19,.579,.625,8,9,.889,2,3,5,5,3,0,2,0,33
35,Len Elmore\elmorle01,C,29,NJN,2,,76,9,16,.563,0,0,,9,16,.563,.563,4,4,1.000,1,15,16,2,1,2,2,4,22
36,Alex English*\englial01,SF,28,DEN,3,,118,26,55,.473,0,0,,26,55,.473,.473,6,7,.857,8,15,23,17,3,3,4,6,58
37,Julius Erving*\ervinju01,SF,31,PHI,21,,780,168,324,.519,1,6,.167,167,318,.525,.520,124,165,.752,57,99,156,99,37,37,67,55,461
38,Eric Fernsten\fernser01,C,28,BOS,5,,11,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,0,2,0,0,1,0,0,3
39,Chris Ford\fordch01,SG,33,BOS,12,,138,20,42,.476,2,7,.286,18,35,.514,.500,5,7,.714,6,9,15,15,3,1,3,15,47
