Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad\abdulta01,SG,24,SAC,5,5,99,15,33,.455,0,1,.000,15,32,.469,.455,13,16,.813,6,13,19,4,4,4,3,8,43
2,Ray Allen\allenra02,SG,23,MIL,3,3,120,25,47,.532,9,19,.474,16,28,.571,.628,8,13,.615,8,14,22,13,3,1,11,9,67
3,Nick Anderson\anderni01,SF,31,ORL,4,4,152,29,79,.367,11,42,.262,18,37,.486,.437,14,19,.737,7,20,27,9,9,0,10,12,83
4,Shandon Anderson\andersh01,SG,25,UTA,11,0,297,37,77,.481,6,14,.429,31,63,.492,.519,24,34,.706,8,33,41,13,6,3,14,34,104
5,Greg Anthony\anthogr01,PG,31,POR,13,0,225,18,55,.327,8,31,.258,10,24,.417,.400,23,34,.676,4,10,14,32,13,1,9,25,67
6,B.J. Armstrong\armstbj01,PG,31,ORL,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,1,0
7,Darrell Armstrong\armstda01,PG,30,ORL,4,4,163,17,46,.370,9,24,.375,8,22,.364,.467,16,16,1.000,6,14,20,25,9,0,25,16,59
8,Keith Askins\askinke01,SF,31,MIA,4,0,27,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,2,2,4,0,2,1,0,5,0
9,Stacey Augmon\augmost01,SF,30,POR,13,0,176,10,28,.357,0,1,.000,10,27,.370,.357,15,18,.833,10,23,33,5,8,3,3,15,35
10,Isaac Austin\austiis01,C,29,ORL,4,4,112,9,23,.391,0,2,.000,9,21,.429,.391,8,12,.667,7,9,16,8,4,3,8,14,26
11,Thurl Bailey\baileth01,PF,37,UTA,11,0,115,17,33,.515,0,0,,17,33,.515,.515,3,4,.750,5,10,15,2,3,6,8,19,37
12,Charles Barkley*\barklch01,PF,35,HOU,4,4,157,36,68,.529,2,7,.286,34,61,.557,.544,20,30,.667,13,42,55,15,6,2,8,12,94
13,Jon Barry\barryjo01,SG,29,SAC,5,0,112,12,34,.353,5,19,.263,7,15,.467,.426,11,12,.917,3,7,10,9,6,1,9,9,40
14,Travis Best\besttr01,PG,26,IND,11,0,150,16,46,.348,2,10,.200,14,36,.389,.370,12,13,.923,7,10,17,21,4,1,14,34,46
15,Mookie Blaylock\blaylmo01,PG,31,ATL,9,9,358,44,135,.326,18,51,.353,26,84,.310,.393,7,15,.467,6,30,36,36,18,2,30,11,113
16,Terrell Brandon\brandte01,PG,28,MIN,4,4,161,31,69,.449,3,5,.600,28,64,.438,.471,12,13,.923,2,28,30,28,9,2,14,11,77
17,Gerald Brown\brownge02,SG,23,PHO,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
18,P.J. Brown\brownpj01,PF,29,MIA,5,5,144,21,45,.467,0,1,.000,21,44,.477,.467,9,10,.900,14,17,31,5,2,2,3,17,51
19,Rick Brunson\brunsri01,PG,26,NYK,9,0,18,2,5,.400,0,0,,2,5,.400,.400,2,2,1.000,1,0,1,2,0,0,4,3,6
20,Kobe Bryant\bryanko01,SG,20,LAL,8,8,315,61,142,.430,8,23,.348,53,119,.445,.458,28,35,.800,13,42,55,37,15,10,31,24,158
21,Jud Buechler\buechju01,SF,30,DET,5,0,84,3,15,.200,2,8,.250,1,7,.143,.267,0,0,,4,9,13,3,3,1,3,6,8
22,Matt Bullard\bullama01,PF,31,HOU,2,0,8,2,2,1.000,1,1,1.000,1,1,1.000,1.250,2,2,1.000,0,0,0,1,0,0,0,0,7
23,Marcus Camby\cambyma01,C,24,NYK,20,3,509,81,143,.566,0,1,.000,81,142,.570,.566,45,73,.616,51,102,153,6,24,38,15,76,207
24,Antoine Carr\carran01,PF,37,HOU,4,0,37,4,11,.364,0,0,,4,11,.364,.364,0,0,,3,4,7,4,0,1,4,19,8
25,Sam Cassell\cassesa01,PG,29,MIL,3,3,102,16,32,.500,0,1,.000,16,31,.516,.500,14,16,.875,0,6,6,26,3,0,7,14,46
26,Kelvin Cato\catoke01,C,24,POR,8,0,43,1,9,.111,0,0,,1,9,.111,.111,4,10,.400,6,1,7,2,1,1,2,13,6
27,Duane Causwell\causwdu01,C,30,MIA,4,0,20,1,2,.500,0,0,,1,2,.500,.500,4,6,.667,0,2,2,1,1,0,0,2,6
28,Rex Chapman\chapmre01,SG,31,PHO,3,3,57,6,21,.286,2,6,.333,4,15,.267,.333,3,4,.750,2,4,6,6,1,0,4,9,17
29,Chris Childs\childch01,PG,31,NYK,20,0,494,33,93,.355,9,28,.321,24,65,.369,.403,19,26,.731,8,39,47,73,13,1,30,64,94
30,Tyrone Corbin\corbity01,SF,36,ATL,9,4,268,30,72,.417,6,23,.261,24,49,.490,.458,3,4,.750,7,26,33,16,6,0,8,20,69
31,Chris Crawford\crawfch01,PF,23,ATL,6,5,125,16,48,.333,4,14,.286,12,34,.353,.375,23,26,.885,6,13,19,5,1,1,6,19,59
32,Austin Croshere\croshau01,PF,23,IND,1,0,1,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,0,1,0,0,0,0,0,2
33,Dell Curry\curryde01,SG,34,MIL,3,0,49,2,15,.133,1,8,.125,1,7,.143,.167,4,4,1.000,0,4,4,1,3,0,0,5,9
34,Michael Curry\currymi01,SF,30,MIL,3,0,59,7,12,.583,0,1,.000,7,11,.636,.583,6,6,1.000,1,3,4,3,2,1,2,8,20
35,Antonio Daniels\daniean01,PG,23,SAS,15,0,106,9,21,.429,4,6,.667,5,15,.333,.524,5,6,.833,1,9,10,16,4,0,10,7,27
36,Antonio Davis\davisan01,PF,30,IND,13,0,326,31,75,.413,0,0,,31,75,.413,.413,41,62,.661,23,69,92,8,5,14,20,39,103
37,Dale Davis\davisda01,PF,29,IND,13,13,394,45,77,.584,0,0,,45,77,.584,.584,28,50,.560,45,87,132,11,10,18,21,42,118
38,Bison Dele\delebi01,C,29,DET,5,5,122,24,40,.600,0,0,,24,40,.600,.600,5,9,.556,12,20,32,1,3,2,7,25,53
39,Michael Dickerson\dickemi01,SG,23,HOU,4,4,82,6,22,.273,3,8,.375,3,14,.214,.341,2,4,.500,2,2,4,3,2,3,2,8,17
40,Vlade Divac\divacvl01,C,30,SAC,5,5,198,25,56,.446,1,5,.200,24,51,.471,.455,30,36,.833,9,41,50,23,8,4,19,17,81
41,Michael Doleac\doleami01,C,21,ORL,4,0,43,5,18,.278,0,1,.000,5,17,.294,.278,7,9,.778,5,7,12,0,0,1,3,6,17
42,Bryce Drew\drewbr01,PG,24,HOU,1,0,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,2,.000,1,2,3,2,0,0,0,1,2
43,Chris Dudley\dudlech02,C,33,NYK,18,6,294,16,38,.421,0,0,,16,38,.421,.421,11,28,.393,27,55,82,5,9,8,9,63,43
44,Joe Dumars*\dumarjo01,SG,35,DET,5,5,153,19,39,.487,10,19,.526,9,20,.450,.615,3,3,1.000,1,6,7,13,2,0,9,9,51
45,Tim Duncan\duncati01,PF,22,SAS,17,17,733,144,282,.511,0,3,.000,144,279,.516,.511,107,143,.748,55,140,195,48,13,45,52,50,395
46,Howard Eisley\eisleho01,PG,26,UTA,11,0,241,26,71,.366,5,24,.208,21,47,.447,.401,24,29,.828,3,17,20,32,7,3,20,27,81
47,Mario Elie\eliema01,SG,35,SAS,17,17,526,43,112,.384,8,30,.267,35,82,.427,.420,41,49,.837,9,50,59,50,22,2,25,42,135
48,Sean Elliott\elliose01,SF,30,SAS,17,17,574,68,153,.444,22,55,.400,46,98,.469,.516,45,59,.763,11,47,58,45,9,4,21,50,203
49,Patrick Ewing*\ewingpa01,C,36,NYK,11,11,347,58,135,.430,0,0,,58,135,.430,.430,28,36,.778,14,82,96,6,7,8,10,35,144
50,Derek Fisher\fishede01,PG,24,LAL,8,8,238,28,67,.418,10,29,.345,18,38,.474,.493,12,15,.800,6,23,29,39,8,0,11,20,78
51,Greg Foster\fostegr01,PF,30,UTA,8,0,70,8,19,.421,0,0,,8,19,.421,.421,0,0,,1,7,8,1,1,0,3,11,16
52,Rick Fox\foxri01,SF,29,LAL,8,1,181,24,60,.400,4,21,.190,20,39,.513,.433,1,1,1.000,9,13,22,12,4,5,14,26,53
53,Todd Fuller\fulleto02,C,24,UTA,10,0,105,10,26,.385,0,0,,10,26,.385,.385,6,10,.600,8,20,28,0,0,2,5,21,26
54,Lawrence Funderburke\fundela01,PF,28,SAC,3,0,31,5,12,.417,0,0,,5,12,.417,.417,0,0,,2,2,4,1,3,0,3,3,10
55,Kevin Garnett\garneke01,PF,22,MIN,4,4,170,35,79,.443,0,2,.000,35,77,.455,.443,17,23,.739,16,32,48,15,7,8,13,10,87
56,Dean Garrett\garrede01,C,32,MIN,4,3,92,10,18,.556,0,0,,10,18,.556,.556,2,5,.400,9,7,16,5,2,3,2,16,22
57,Pat Garrity\garripa01,PF,22,PHO,3,0,52,9,17,.529,3,3,1.000,6,14,.429,.618,6,6,1.000,6,3,9,1,1,1,3,9,27
58,Chris Gatling\gatlich01,C,31,MIL,2,0,12,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,1,2,3,0,1,0,2,3,0
59,Matt Geiger\geigema01,C,29,PHI,8,8,239,42,96,.438,0,1,.000,42,95,.442,.438,24,29,.828,23,38,61,6,9,6,13,29,108
60,Armen Gilliam\gilliar01,PF,34,MIL,3,0,35,6,15,.400,0,0,,6,15,.400,.400,5,5,1.000,0,5,5,1,2,1,1,4,17
61,Brian Grant\grantbr01,PF,26,POR,13,13,482,63,119,.529,0,0,,63,119,.529,.529,45,72,.625,34,85,119,14,10,16,21,48,171
62,Harvey Grant\grantha01,PF,33,PHI,4,0,29,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,3,4,0,0,1,0,1,2
63,Horace Grant\grantho01,PF,33,ORL,4,4,128,11,30,.367,0,0,,11,30,.367,.367,5,8,.625,14,14,28,5,2,2,2,12,27
64,Ed Gray\grayed01,SG,23,ATL,8,0,71,15,41,.366,4,11,.364,11,30,.367,.415,10,11,.909,2,7,9,4,6,1,2,11,44
65,Tom Gugliotta\guglito01,PF,29,PHO,3,3,118,13,35,.371,0,0,,13,35,.371,.371,6,8,.750,6,19,25,10,4,3,8,10,32
66,Tom Hammonds\hammoto01,PF,31,MIN,4,0,18,0,0,,0,0,,0,0,,,4,4,1.000,0,2,2,0,0,0,1,4,4
67,Anfernee Hardaway\hardaan01,SG,27,ORL,4,4,167,20,57,.351,6,13,.462,14,44,.318,.404,30,39,.769,9,11,20,22,9,1,12,13,76
68,Tim Hardaway\hardati01,PG,32,MIA,5,5,182,15,56,.268,5,25,.200,10,31,.323,.313,10,16,.625,3,11,14,32,5,1,18,14,45
69,Derek Harper\harpede01,PG,37,LAL,7,0,113,13,31,.419,1,10,.100,12,21,.571,.435,3,6,.500,1,9,10,15,2,0,4,2,30
70,Matt Harpring\harprma01,SF,22,ORL,4,0,82,12,26,.462,1,5,.200,11,21,.524,.481,8,11,.727,7,13,20,7,1,0,5,9,33
71,Othella Harrington\harriot01,PF,25,HOU,4,0,42,9,14,.643,0,0,,9,14,.643,.643,4,6,.667,5,9,14,1,0,1,3,2,22
72,Michael Hawkins\hawkimi01,PG,26,SAC,2,0,10,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,0,0,0,0,0,0,1,2
73,Alan Henderson\hendeal01,SF,26,ATL,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
74,Grant Hill\hillgr01,SF,26,DET,5,5,176,42,92,.457,0,1,.000,42,91,.462,.457,13,16,.813,7,29,36,37,10,2,12,12,97
75,Tyrone Hill\hillty01,PF,30,PHI,8,1,196,19,39,.487,0,0,,19,39,.487,.487,7,19,.368,19,40,59,0,3,2,6,33,45
76,Fred Hoiberg\hoibefr01,SG,26,IND,4,0,20,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,3,3,2,3,0,0,1,4
77,Jerald Honeycutt\honeyje01,PF,24,PHI,6,0,12,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,0,1,0,0,0,1,3,2
78,Jeff Hornacek\hornaje01,SG,35,UTA,11,11,304,49,106,.462,7,18,.389,42,88,.477,.495,29,33,.879,9,32,41,26,11,0,12,34,134
79,Robert Horry\horryro01,PF,28,LAL,8,0,177,12,26,.462,5,12,.417,7,14,.500,.558,11,14,.786,10,26,36,11,6,6,7,29,40
80,Allan Houston\houstal01,SG,27,NYK,20,20,783,135,305,.443,9,36,.250,126,269,.468,.457,91,103,.883,6,48,54,51,8,1,50,40,370
81,Larry Hughes\hughela01,PG,20,PHI,8,2,198,31,77,.403,0,7,.000,31,70,.443,.403,20,24,.833,17,20,37,16,15,9,12,21,82
82,Lindsey Hunter\hunteli01,PG,28,DET,5,5,180,14,53,.264,3,11,.273,11,42,.262,.292,5,5,1.000,5,10,15,12,7,0,7,11,36
83,Allen Iverson*\iversal01,SG,23,PHI,8,8,358,88,214,.411,15,53,.283,73,161,.453,.446,37,52,.712,14,19,33,39,20,2,24,19,228
84,Bobby Jackson\jacksbo01,PG,25,MIN,4,0,27,2,10,.200,0,3,.000,2,7,.286,.200,0,0,,1,3,4,2,0,0,1,3,4
85,Jaren Jackson\jacksja01,SG,31,SAS,17,0,345,50,131,.382,31,86,.360,19,45,.422,.500,9,13,.692,6,35,41,18,13,0,20,33,140
86,Jim Jackson\jacksji01,SG,28,POR,13,0,265,26,72,.361,5,18,.278,21,54,.389,.396,38,42,.905,8,22,30,19,7,1,18,26,95
87,Mark Jackson\jacksma01,PG,33,IND,13,13,451,51,103,.495,14,34,.412,37,69,.536,.563,30,42,.714,14,45,59,112,14,1,35,32,146
88,Jerome James\jamesje01,C,23,SAC,1,0,4,1,2,.500,0,0,,1,2,.500,.500,3,4,.750,1,1,2,0,0,0,1,1,5
89,Anthony Johnson\johnsan02,PG,24,ATL,9,0,111,8,29,.276,1,2,.500,7,27,.259,.293,7,10,.700,3,6,9,10,1,1,5,9,24
90,Avery Johnson\johnsav01,PG,33,SAS,17,17,653,91,187,.487,1,3,.333,90,184,.489,.489,32,47,.681,9,33,42,126,20,1,50,30,215
