Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Hassan Adams\adamsha01,SG,22,NJN,6,0,9,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,0,3,2
2,Maurice Ager\agerma01,SG,22,DAL,3,0,24,5,9,.556,2,3,.667,3,6,.500,.667,3,6,.500,1,2,3,0,0,0,0,3,15
3,Malik Allen\allenma01,PF,28,CHI,5,0,34,2,12,.167,0,0,,2,12,.167,.167,0,0,,4,3,7,1,1,1,3,7,4
4,Rafer Alston\alstora01,PG,30,HOU,7,7,309,25,74,.338,16,50,.320,9,24,.375,.446,10,13,.769,6,42,48,35,13,3,17,23,76
5,Carmelo Anthony\anthoca01,SF,22,DEN,5,5,210,47,98,.480,9,18,.500,38,80,.475,.526,31,39,.795,18,25,43,6,5,0,19,12,134
6,Rafael Araujo\araujra01,C,26,UTA,5,0,28,3,8,.375,0,0,,3,8,.375,.375,5,12,.417,3,8,11,1,1,0,0,8,11
7,Trevor Ariza\arizatr01,SG,21,ORL,4,0,47,5,16,.313,0,0,,5,16,.313,.313,1,4,.250,5,4,9,5,1,0,4,9,11
8,Carlos Arroyo\arroyca01,PG,27,ORL,3,0,40,5,14,.357,0,2,.000,5,12,.417,.357,2,2,1.000,2,3,5,6,1,0,1,4,12
9,Kelenna Azubuike\azubuke01,SG,23,GSW,6,0,15,1,3,.333,0,1,.000,1,2,.500,.333,2,2,1.000,1,3,4,0,1,0,0,1,4
10,Marcus Banks\banksma01,PG,25,PHO,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,0,0,1,0,0,0,0,2
11,Leandro Barbosa\barbole01,SG,24,PHO,11,1,349,64,158,.405,18,59,.305,46,99,.465,.462,28,39,.718,7,31,38,24,12,2,22,30,174
12,J.J. Barea\bareajo01,PG,22,DAL,2,0,4,0,0,,0,0,,0,0,,,0,2,.000,0,0,0,0,0,0,0,0,0
13,Andrea Bargnani\bargnan01,PF,21,TOR,6,3,181,22,46,.478,7,17,.412,15,29,.517,.554,15,19,.789,3,21,24,6,5,3,7,16,66
14,Matt Barnes\barnema02,PF,26,GSW,11,3,330,45,100,.450,19,45,.422,26,55,.473,.545,13,18,.722,26,37,63,26,16,4,20,44,122
15,Brent Barry\barrybr01,SG,35,SAS,19,0,225,21,60,.350,15,49,.306,6,11,.545,.475,2,2,1.000,4,21,25,21,4,2,11,17,59
16,Tony Battie\battito01,PF,30,ORL,4,4,87,7,18,.389,0,0,,7,18,.389,.389,1,4,.250,3,13,16,1,0,0,0,12,15
17,Shane Battier\battish01,SF,28,HOU,7,7,272,23,51,.451,19,43,.442,4,8,.500,.637,7,8,.875,3,15,18,15,12,7,8,20,72
18,Raja Bell\bellra01,SG,30,PHO,11,11,438,40,87,.460,20,45,.444,20,42,.476,.575,12,14,.857,6,27,33,20,10,2,15,40,112
19,Andris Biedrins\biedran01,C,20,GSW,11,8,267,27,37,.730,0,0,,27,37,.730,.730,16,30,.533,19,50,69,5,8,17,9,29,70
20,Chauncey Billups\billuch01,PG,30,DET,16,16,649,84,193,.435,35,90,.389,49,103,.476,.526,94,113,.832,7,46,53,91,19,2,46,39,297
21,Steve Blake\blakest01,PG,26,DEN,5,5,180,14,31,.452,8,16,.500,6,15,.400,.581,0,0,,1,11,12,23,3,0,10,8,36
22,Andray Blatche\blatcan01,PF,20,WAS,2,0,25,4,6,.667,0,0,,4,6,.667,.667,1,1,1.000,3,4,7,0,0,0,1,2,9
23,Matt Bonner\bonnema01,PF,26,SAS,9,0,25,2,7,.286,1,4,.250,1,3,.333,.357,2,2,1.000,2,1,3,0,2,0,3,6,7
24,Josh Boone\boonejo01,PF,22,NJN,12,0,118,12,24,.500,0,0,,12,24,.500,.500,12,24,.500,7,12,19,3,1,3,3,16,36
25,Calvin Booth\boothca01,C,30,WAS,1,0,18,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,2,4,1,1,0,1,3,4
