Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rick Adelman\adelmri01,PG,22,SDR,6,,187,24,53,.453,,,,24,53,.453,.453,22,37,.595,,,15,29,,,,18,70
2,Bob Allen\allenbo01,PF,22,SFW,3,,19,0,4,.000,,,,0,4,.000,.000,4,7,.571,,,6,0,,,,2,4
3,Cliff Anderson\andercl01,SG,24,LAL,3,,10,2,5,.400,,,,2,5,.400,.400,0,0,,,,1,0,,,,1,4
4,Al Attles\attleal01,PG,32,SFW,6,,109,7,21,.333,,,,7,21,.333,.333,1,4,.250,,,18,21,,,,17,15
5,Dick Barnett\barnedi01,SG,32,NYK,10,,402,65,163,.399,,,,65,163,.399,.399,37,54,.685,,,35,27,,,,32,167
6,Jim Barnett\barneji02,SG,24,SDR,6,,51,9,23,.391,,,,9,23,.391,.391,7,8,.875,,,3,7,,,,5,25
7,John Barnhill\barnhjo01,PG,30,BAL,1,,10,1,2,.500,,,,1,2,.500,.500,0,0,,,,2,1,,,,3,2
8,Elgin Baylor*\bayloel01,SF,34,LAL,18,,640,107,278,.385,,,,107,278,.385,.385,63,100,.630,,,166,74,,,,56,277
9,Zelmo Beaty*\beatyze01,C,29,ATL,11,,473,102,236,.432,,,,102,236,.432,.432,43,64,.672,,,142,25,,,,47,247
10,John Block\blockjo01,PF,24,SDR,5,,97,24,45,.533,,,,24,45,.533,.533,14,18,.778,,,14,3,,,,18,62
11,Nate Bowman\bowmana01,C,25,NYK,10,,62,4,15,.267,,,,4,15,.267,.267,3,3,1.000,,,32,3,,,,16,11
12,Bill Bradley*\bradlbi01,SF,25,NYK,10,,419,65,141,.461,,,,65,141,.461,.461,30,39,.769,,,73,40,,,,38,160
13,Bill Bridges\bridgbi01,PF,29,ATL,11,,442,69,156,.442,,,,69,156,.442,.442,34,48,.708,,,178,37,,,,48,172
14,Em Bryant\bryanem01,PG,30,BOS,18,,607,79,193,.409,,,,79,193,.409,.409,40,53,.755,,,88,54,,,,75,198
15,Joe Caldwell\caldwjo01,SG,27,ATL,11,,404,65,134,.485,,,,65,134,.485,.485,32,69,.464,,,55,37,,,,40,162
16,Jay Carty\cartyja01,PF,27,LAL,3,,10,0,2,.000,,,,0,2,.000,.000,1,3,.333,,,2,1,,,,3,1
17,Wilt Chamberlain*\chambwi01,C,32,LAL,18,,832,96,176,.545,,,,96,176,.545,.545,58,148,.392,,,444,46,,,,56,250
18,Don Chaney\chanedo01,SG,22,BOS,7,,25,1,6,.167,,,,1,6,.167,.167,3,4,.750,,,4,0,,,,7,5
19,Archie Clark\clarkar01,SG,27,PHI,5,,185,40,77,.519,,,,40,77,.519,.519,17,19,.895,,,19,22,,,,17,97
20,Mel Counts\countme01,PF,27,LAL,18,,442,74,192,.385,,,,74,192,.385,.385,54,71,.761,,,143,26,,,,67,202
21,Freddie Crawford\crawffr01,SG,27,LAL,5,,20,2,4,.500,,,,2,4,.500,.500,0,1,.000,,,3,3,,,,4,4
22,Billy Cunningham*\cunnibi01,PF,25,PHI,5,,217,49,117,.419,,,,49,117,.419,.419,24,38,.632,,,63,12,,,,24,122
23,Jim Davis\davisji01,C,27,ATL,8,,52,4,15,.267,,,,4,15,.267,.267,5,8,.625,,,17,1,,,,7,13
24,Dave DeBusschere*\debusda01,PF,28,NYK,10,,419,61,174,.351,,,,61,174,.351,.351,41,50,.820,,,148,33,,,,43,163
25,Johnny Egan\eganjo01,PG,30,LAL,18,,571,94,217,.433,,,,94,217,.433,.433,63,80,.788,,,44,70,,,,55,251
26,Joe Ellis\ellisjo01,SF,24,SFW,6,,161,23,79,.291,,,,23,79,.291,.291,16,25,.640,,,51,3,,,,22,62
27,Leroy Ellis\ellisle01,C,28,BAL,4,,67,8,16,.500,,,,8,16,.500,.500,3,5,.600,,,18,2,,,,8,19
28,Keith Erickson\erickke01,SG,24,LAL,18,,446,56,142,.394,,,,56,142,.394,.394,15,25,.600,,,86,40,,,,64,127
29,Hank Finkel\finkeha01,C,26,SDR,2,,12,0,3,.000,,,,0,3,.000,.000,0,0,,,,7,0,,,,3,0
30,Walt Frazier*\fraziwa01,PG,23,NYK,10,,415,89,177,.503,,,,89,177,.503,.503,34,57,.596,,,74,91,,,,30,212
31,Mal Graham\grahama01,PG,23,BOS,2,,3,0,2,.000,,,,0,2,.000,.000,0,0,,,,0,1,,,,0,0
32,Johnny Green\greenjo01,PF,35,PHI,5,,44,9,16,.563,,,,9,16,.563,.563,5,9,.556,,,14,1,,,,12,23
33,Hal Greer*\greerha01,SG,32,PHI,5,,204,26,81,.321,,,,26,81,.321,.321,28,36,.778,,,30,23,,,,23,80
