Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad\abdulta01,SG,28,DAL,8,0,79,9,30,.300,0,2,.000,9,28,.321,.300,7,8,.875,11,11,22,7,0,0,1,6,25
2,Courtney Alexander\alexaco02,PG,25,NOH,5,0,39,7,16,.438,1,1,1.000,6,15,.400,.469,3,4,.750,2,2,4,1,2,0,1,6,18
3,John Amaechi\amaecjo01,C,32,UTA,2,0,16,1,4,.250,0,0,,1,4,.250,.250,2,4,.500,0,1,1,0,0,0,0,4,4
4,Derek Anderson\anderde01,PG,28,POR,2,2,22,1,4,.250,0,1,.000,1,3,.333,.250,0,1,.000,1,0,1,0,0,0,1,1,2
5,Kenny Anderson\anderke01,PG,32,NOH,5,0,51,4,12,.333,0,0,,4,12,.333,.333,3,3,1.000,0,2,2,9,3,0,4,6,11
6,Darrell Armstrong\armstda01,PG,34,ORL,7,1,226,20,44,.455,6,18,.333,14,26,.538,.523,20,22,.909,7,10,17,26,6,0,17,22,66
7,Carlos Arroyo\arroyca01,PG,23,UTA,3,0,27,3,9,.333,0,0,,3,9,.333,.333,3,4,.750,2,0,2,5,0,0,0,2,9
8,Chucky Atkins\atkinch01,PG,28,DET,17,3,312,32,91,.352,18,49,.367,14,42,.333,.451,21,26,.808,2,18,20,26,17,0,18,39,103
9,Stacey Augmon\augmost01,SG,34,NOH,4,0,69,5,15,.333,0,0,,5,15,.333,.333,7,8,.875,1,9,10,3,3,0,3,8,17
10,Jon Barry\barryjo01,SG,33,DET,14,0,172,23,54,.426,15,33,.455,8,21,.381,.565,9,9,1.000,5,19,24,20,8,1,7,14,70
11,Tony Battie\battito01,C,26,BOS,10,10,213,31,55,.564,0,3,.000,31,52,.596,.564,4,8,.500,13,36,49,5,4,14,7,42,66
12,Raja Bell\bellra01,SG,26,DAL,17,7,305,40,73,.548,6,13,.462,34,60,.567,.589,11,20,.550,13,38,51,27,5,0,6,41,97
13,Jonathan Bender\bendejo01,SF,22,IND,3,0,34,5,15,.333,3,9,.333,2,6,.333,.433,4,6,.667,3,4,7,0,0,2,0,2,17
14,Mike Bibby\bibbymi01,PG,24,SAC,12,12,404,57,135,.422,11,39,.282,46,96,.479,.463,27,34,.794,8,23,31,60,14,5,18,31,152
15,Chauncey Billups\billuch01,PG,26,DET,14,14,485,71,190,.374,26,84,.310,45,106,.425,.442,84,90,.933,4,43,47,66,9,2,34,38,252
16,Mark Blount\blounma01,C,27,BOS,10,0,144,12,22,.545,0,0,,12,22,.545,.545,7,10,.700,12,24,36,2,11,8,8,20,31
17,Bruce Bowen\bowenbr01,SF,31,SAS,24,24,750,54,145,.372,35,80,.438,19,65,.292,.493,23,42,.548,14,55,69,39,20,17,15,52,166
18,Shawn Bradley\bradlsh01,C,30,DAL,17,7,246,20,50,.400,0,1,.000,20,49,.408,.400,9,12,.750,23,42,65,5,3,14,15,48,49
19,J.R. Bremer\bremejr01,PG,22,BOS,10,0,147,16,56,.286,8,32,.250,8,24,.333,.357,7,8,.875,0,15,15,12,3,0,8,12,47
20,Kedrick Brown\brownke01,SF,21,BOS,3,0,11,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,2,0,2,0,1,0,0,0,3
