Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz\abdulza01,C,29,SEA,5,,60,14,20,.700,,,,14,20,.700,.700,8,11,.727,4,17,21,2,0,5,,2,36
2,Alvan Adams\adamsal01,C,21,PHO,19,,668,137,303,.452,,,,137,303,.452,.452,67,82,.817,54,137,191,98,24,20,,60,341
3,Don Adams\adamsdo01,SF,28,BUF,9,,122,15,36,.417,,,,15,36,.417,.417,6,7,.857,8,19,27,13,2,0,,23,36
4,Jerome Anderson\anderje01,SG,22,BOS,4,,5,1,3,.333,,,,1,3,.333,.333,0,0,,1,0,1,1,0,0,,1,2
5,Jim Ard\ardji01,C,27,BOS,16,,110,13,29,.448,,,,13,29,.448,.448,11,14,.786,10,16,26,8,1,3,,29,37
6,Dennis Awtrey\awtrede01,C,27,PHO,19,,286,21,45,.467,,,,21,45,.467,.467,18,33,.545,17,46,63,25,5,9,,38,60
7,Mike Bantom\bantomi01,SF,24,SEA,6,,114,22,38,.579,,,,22,38,.579,.579,14,20,.700,9,14,23,8,4,2,,27,58
8,Rick Barry*\barryri01,SF,31,GSW,13,,532,126,289,.436,,,,126,289,.436,.436,60,68,.882,20,64,84,84,38,14,,40,312
9,Dave Bing*\bingda01,PG,32,WSB,7,,209,34,76,.447,,,,34,76,.447,.447,28,35,.800,6,12,18,28,7,2,,18,96
10,Tom Boswell\bosweto01,PF,22,BOS,3,,3,1,2,.500,,,,1,2,.500,.500,0,0,,0,1,1,0,0,0,,2,2
11,Jim Brewer\breweji01,PF,24,CLE,13,,489,44,101,.436,,,,44,101,.436,.436,26,48,.542,40,100,140,37,13,12,,34,114
12,Junior Bridgeman\bridgju01,SF,22,MIL,3,,67,9,20,.450,,,,9,20,.450,.450,7,11,.636,4,7,11,5,1,0,,10,25
13,Gary Brokaw\brokaga01,SG,22,MIL,3,,108,23,37,.622,,,,23,37,.622,.622,17,18,.944,0,11,11,24,3,3,,10,63
14,Fred Brown\brownfr01,SG,27,SEA,6,,236,68,133,.511,,,,68,133,.511,.511,35,44,.795,12,16,28,17,13,0,,20,171
15,Roger Brown\brownro02,C,25,DET,9,,51,4,9,.444,,,,4,9,.444,.444,2,4,.500,7,7,14,2,0,1,,10,10
16,Joe Bryant\bryanjo01,PF,21,PHI,3,,43,9,12,.750,,,,9,12,.750,.750,5,7,.714,3,10,13,1,1,1,,11,23
17,Tom Burleson\burleto01,C,23,SEA,6,,208,45,75,.600,,,,45,75,.600,.600,35,46,.761,15,42,57,10,6,8,,25,125
18,Austin Carr\carrau01,SG,27,CLE,13,,273,66,138,.478,,,,66,138,.478,.478,22,36,.611,11,12,23,26,6,3,,29,154
19,Fred Carter\cartefr01,PG,30,PHI,3,,125,29,67,.433,,,,29,67,.433,.433,26,30,.867,4,6,10,15,4,1,,12,84
20,Harvey Catchings\catchha01,C,24,PHI,3,,87,8,13,.615,,,,8,13,.615,.615,1,3,.333,12,16,28,6,0,9,,11,17
21,Ken Charles\charlke01,SG,24,BUF,9,,238,22,55,.400,,,,22,55,.400,.400,9,13,.692,6,20,26,14,7,6,,31,53
22,Phil Chenier\cheniph01,SG,25,WSB,7,,265,56,128,.438,,,,56,128,.438,.438,14,17,.824,6,20,26,11,6,3,,27,126
23,Jim Chones\choneji01,C,26,CLE,7,,242,47,114,.412,,,,47,114,.412,.412,11,18,.611,14,36,50,6,1,6,,23,105
24,Archie Clark\clarkar01,SG,34,DET,9,,192,30,62,.484,,,,30,62,.484,.484,12,18,.667,2,19,21,29,6,0,,25,72
25,Jim Cleamons\cleamji01,PG,26,CLE,13,,503,73,184,.397,,,,73,184,.397,.397,33,40,.825,23,48,71,61,8,3,,34,179
26,Doug Collins\collido01,SG,24,PHI,3,,117,23,53,.434,,,,23,53,.434,.434,12,14,.857,13,8,21,10,3,1,,9,58
27,Dave Cowens*\cowenda01,C,27,BOS,18,,798,156,341,.457,,,,156,341,.457,.457,66,87,.759,87,209,296,83,22,13,,85,378
28,Bob Dandridge\dandrbo01,SF,28,MIL,3,,122,24,49,.490,,,,24,49,.490,.490,18,20,.900,3,20,23,8,3,0,,9,66
29,Dwight Davis\davisdw01,PF,26,GSW,11,,142,16,37,.432,,,,16,37,.432,.432,18,22,.818,9,19,28,10,3,4,,28,50
