Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ray Allen\allenra02,SG,25,MIL,18,18,768,158,331,.477,57,119,.479,101,212,.476,.563,79,86,.919,19,55,74,108,24,10,43,44,452
2,Rafer Alston\alstora01,PG,24,MIL,5,0,8,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,2,0,0
3,John Amaechi\amaecjo01,C,30,ORL,4,0,29,3,8,.375,0,0,,3,8,.375,.375,3,4,.750,1,2,3,3,3,2,0,2,9
4,Derek Anderson\anderde01,SG,26,SAS,7,7,194,16,61,.262,6,22,.273,10,39,.256,.311,16,21,.762,3,16,19,17,3,0,15,10,54
5,Greg Anthony\anthogr01,PG,33,POR,2,0,17,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,0,0,0,1,0,1,2,5
6,Darrell Armstrong\armstda01,PG,32,ORL,4,4,167,17,45,.378,7,19,.368,10,26,.385,.456,12,13,.923,5,17,22,19,8,2,11,10,53
7,Stacey Augmon\augmost01,SG,32,POR,2,0,28,4,10,.400,0,0,,4,10,.400,.400,2,2,1.000,1,3,4,4,1,0,1,3,10
8,William Avery\averywi01,PG,21,MIN,2,0,12,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,0,1,1,2,0,1,0,0,7
9,Jon Barry\barryjo01,SG,31,SAC,7,0,55,7,17,.412,2,7,.286,5,10,.500,.471,0,0,,3,0,3,4,1,0,3,7,16
10,Raja Bell\bellra01,SG,24,PHI,15,0,124,12,27,.444,2,8,.250,10,19,.526,.481,8,14,.571,4,9,13,7,15,0,5,20,34
11,Jonathan Bender\bendejo01,SF,20,IND,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0
12,David Benoit\benoida01,SF,32,UTA,4,0,61,7,19,.368,2,6,.333,5,13,.385,.421,7,7,1.000,1,6,7,2,0,2,2,6,23
13,Travis Best\besttr01,PG,28,IND,4,4,163,17,39,.436,1,3,.333,16,36,.444,.449,4,4,1.000,6,13,19,37,4,0,6,15,39
14,Chauncey Billups\billuch01,SG,24,MIN,3,0,26,1,6,.167,0,1,.000,1,5,.200,.167,1,1,1.000,1,4,5,2,0,0,1,5,3
15,Calvin Booth\boothca01,C,24,DAL,10,0,137,15,37,.405,0,0,,15,37,.405,.405,8,9,.889,16,12,28,2,7,6,4,29,38
16,Bruce Bowen\bowenbr01,SF,29,MIA,3,3,58,5,16,.313,2,8,.250,3,8,.375,.375,0,0,,1,1,2,2,2,2,2,8,12
17,Shawn Bradley\bradlsh01,C,28,DAL,10,10,256,27,51,.529,0,0,,27,51,.529,.529,10,13,.769,24,47,71,5,4,30,10,37,64
18,Terrell Brandon\brandte01,PG,30,MIN,4,4,153,27,62,.435,4,9,.444,23,53,.434,.468,3,3,1.000,2,15,17,25,4,2,8,10,61
19,Dee Brown\brownde01,PG,32,ORL,3,0,54,6,13,.462,6,11,.545,0,2,.000,.692,0,0,,0,3,3,4,2,0,1,3,18
